Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,PPI,Processor,HDD,SSD,Hybrid,Flash_Storage,Gpu Name,OS
Lenovo,2 in 1 Convertible,4,0.69,59657.083199999994,1,1,224.17380907857276,Other Intel Processor,0,0,0,64,Intel,Others/No OS/Linux
Acer,Notebook,8,2.2,157277.7648,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows
HP,Notebook,4,1.86,74522.730672,0,0,141.21199808219862,AMD Processor,0,256,0,0,AMD,Windows
HP,Notebook,8,1.49,206275.11839999998,0,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows
Acer,Notebook,4,2.4,71812.9152,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows
Dell,Notebook,8,2.13,143588.42784,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows
HP,Notebook,4,1.91,82098.61919999999,0,0,141.21199808219862,Intel Core i3,0,128,0,0,Intel,Windows
Asus,Notebook,4,2.0,109625.033232,0,0,100.45466986113651,Intel Core i5,0,256,0,0,Intel,Windows
MSI,Gaming,16,2.43,457994.34719999996,0,0,127.33567457123111,Intel Core i7,2048,256,0,0,Nvidia,Windows
Asus,Notebook,4,2.0,77610.31199999999,0,0,141.21199808219862,Intel Core i3,0,256,0,0,Intel,Others/No OS/Linux
Dell,Notebook,16,2.8,242929.6272,0,0,127.33567457123111,Intel Core i7,2048,256,0,0,AMD,Windows
Dell,Ultrabook,8,1.7,164384.2512,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows
Lenovo,Notebook,8,1.7,112020.6672,0,1,157.3505121487356,Intel Core i3,0,256,0,0,Intel,Others/No OS/Linux
Asus,Notebook,8,1.4,175979.0448,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows
HP,Notebook,8,1.86,129038.83199999998,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows
Asus,Ultrabook,16,1.8,370846.3824,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows
HP,Notebook,4,1.86,82040.645232,0,0,100.45466986113651,Intel Core i3,500,0,0,0,AMD,Windows
HP,Notebook,4,1.44,42825.9312,0,0,111.93520355955211,Other Intel Processor,0,32,0,0,Intel,Windows
Lenovo,Notebook,4,1.9,102670.0272,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Intel,Windows
Asus,Gaming,12,3.0,177475.1472,0,0,127.33567457123111,Intel Core i7,1024,0,0,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,1.252,203656.9392,1,0,200.84255993695703,Intel Core i5,0,128,0,0,Intel,Windows
Dell,Ultrabook,8,1.4,178597.224,0,1,165.6321180513006,Intel Core i7,0,256,0,0,AMD,Windows
Dell,Notebook,8,2.2,162701.136,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows
MSI,Gaming,8,2.7,204779.01599999997,0,0,127.33567457123111,Intel Core i5,1024,128,0,0,Nvidia,Windows
Acer,Notebook,8,2.1,72747.97919999999,0,0,111.93520355955211,Intel Core i3,1024,0,0,0,Intel,Windows
Asus,Gaming,8,2.2,177475.1472,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,97059.64319999999,0,0,141.21199808219862,Intel Core i5,2048,0,0,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.02,159895.944,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Intel,Windows
Acer,Notebook,4,2.2,99116.784,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Windows
HP,Notebook,8,2.5,182711.50559999997,0,0,127.33567457123111,Intel Core i5,1024,128,0,0,Nvidia,Windows
Dell,Ultrabook,8,1.88,204995.95084799998,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows
Apple,Ultrabook,8,0.92,282389.328,0,1,226.41554716935852,Intel Core i5,0,512,0,0,Intel,Mac
HP,Notebook,8,1.63,160831.008,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows
Lenovo,Notebook,4,2.2,74618.1072,0,0,141.21199808219862,AMD Processor,0,128,0,0,AMD,Windows
Acer,Notebook,4,2.1,73870.056,0,0,100.45466986113651,AMD Processor,1024,0,0,0,AMD,Windows
Dell,Gaming,16,2.65,252280.2672,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows
HP,Ultrabook,8,1.83,130721.9472,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows
HP,Notebook,8,1.96,112018.797072,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows
Asus,Gaming,16,2.2,270981.5472,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows
Dell,Ultrabook,8,1.21,308384.10719999997,0,1,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows
Asus,Gaming,8,2.45,130721.9472,0,0,141.21199808219862,AMD Processor,1024,0,0,0,AMD,Windows
Acer,Notebook,8,2.2,128851.81919999998,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows
HP,Notebook,16,1.49,223854.3216,0,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows
Dell,Gaming,8,2.65,223480.29599999997,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows
Asus,Ultrabook,8,1.25,196176.4272,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,158399.8416,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
Dell,Notebook,8,2.2,112188.97871999998,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,AMD,Others/No OS/Linux
Dell,Notebook,4,2.2,90701.208,0,0,141.21199808219862,Intel Core i3,0,256,0,0,AMD,Others/No OS/Linux
Asus,Notebook,6,2.0,107906.3856,0,0,141.21199808219862,Intel Core i3,0,256,0,0,Nvidia,Windows
HP,Gaming,12,2.62,233578.9872,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows
HP,Notebook,8,1.91,134462.2032,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows
HP,Notebook,4,2.1,65267.4672,0,0,141.21199808219862,AMD Processor,500,0,0,0,AMD,Windows
Dell,Notebook,8,2.2,120997.2816,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,AMD,Others/No OS/Linux
HP,Ultrabook,8,1.38,209267.32319999998,0,1,165.6321180513006,Intel Core i7,0,256,0,0,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,250597.15199999997,1,0,200.84255993695703,Intel Core i5,0,256,0,0,Intel,Windows
HP,Notebook,6,1.58,123241.43519999998,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.85,77591.61072,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows
Asus,Ultrabook,8,1.3,223106.27039999998,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Nvidia,Windows
MSI,Gaming,16,2.2,242929.6272,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows
Lenovo,Notebook,8,1.58,276778.94399999996,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows
Asus,Ultrabook,16,1.5,236010.1536,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows
Dell,Ultrabook,8,1.23,257890.65119999996,1,0,276.053530085501,Intel Core i7,0,256,0,0,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,261630.9072,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
HP,Notebook,4,1.63,135023.2416,0,1,111.93520355955211,Intel Core i5,500,0,0,0,Intel,Windows
Dell,Ultrabook,8,1.21,304643.8512,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
HP,2 in 1 Convertible,8,1.26,261629.03707199998,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
HP,Notebook,8,1.63,202721.87519999998,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Intel,Windows
Dell,Notebook,8,2.16,211386.17822399997,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows
Asus,Notebook,4,2.0,105475.21919999999,0,0,127.33567457123111,Intel Core i3,1024,0,0,0,Nvidia,Windows
Asus,Notebook,8,1.7,209080.3104,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows
Acer,Notebook,6,2.1,89579.13119999999,1,1,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows
MSI,Gaming,16,1.8,419189.19119999994,0,0,141.21199808219862,Intel Core i7,2048,256,0,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,117631.05119999997,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux
HP,Notebook,16,2.5,237693.2688,0,0,127.33567457123111,Intel Core i7,0,512,0,0,Nvidia,Windows
Acer,Notebook,4,2.1,84342.77279999999,0,0,100.45466986113651,AMD Processor,0,256,0,0,AMD,Windows
HP,Notebook,4,1.86,48436.3152,0,0,100.45466986113651,Other Intel Processor,500,0,0,0,Intel,Others/No OS/Linux
HP,Notebook,8,1.63,151854.39359999998,0,0,157.3505121487356,Intel Core i5,1024,0,0,0,Intel,Windows
Asus,Notebook,4,1.65,51987.68827199999,0,0,111.93520355955211,AMD Processor,0,64,0,0,AMD,Windows
Dell,Notebook,16,2.8,261069.86879999994,0,0,127.33567457123111,Intel Core i7,2048,256,0,0,AMD,Windows
HP,Notebook,8,2.5,173547.8784,0,0,127.33567457123111,Intel Core i5,0,256,0,0,Intel,Windows
Dell,Notebook,8,2.36,119499.30907199999,0,0,100.45466986113651,Intel Core i5,1024,0,0,0,AMD,Windows
Dell,Notebook,4,2.2,83968.7472,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,AMD,Windows
Acer,Ultrabook,8,1.6,165319.31519999998,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows
Acer,Notebook,4,2.2,106971.3216,0,0,141.21199808219862,Intel Core i3,0,256,0,0,Nvidia,Windows
HP,Notebook,8,2.05,111833.65439999998,0,0,100.45466986113651,Intel Core i7,1024,0,0,0,Intel,Windows
HP,Notebook,8,1.63,184768.6464,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows
Lenovo,Notebook,4,1.9,47194.55020799999,0,0,100.45466986113651,Other Intel Processor,1024,0,0,0,Intel,Others/No OS/Linux
Asus,Gaming,8,3.0,175418.00639999998,0,0,127.33567457123111,Intel Core i5,1024,128,0,0,Nvidia,Windows
Lenovo,Notebook,4,2.2,93319.3872,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux
HP,Notebook,4,1.32,130721.9472,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
Acer,Notebook,4,3.0,122493.38399999999,0,1,127.33567457123111,Intel Core i3,1024,0,0,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,208710.02505599998,0,1,157.3505121487356,Intel Core i5,0,256,0,0,AMD,Windows
Lenovo,Gaming,8,2.4,162514.1232,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Others/No OS/Linux
Toshiba,Notebook,4,2.1,112581.7056,0,0,100.45466986113651,Intel Core i5,500,0,0,0,Intel,Windows
HP,Notebook,4,1.86,69007.7232,0,0,100.45466986113651,AMD Processor,0,256,0,0,AMD,Windows
Asus,Ultrabook,8,1.25,205527.0672,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows
HP,Ultrabook,8,0.97,376643.7792,1,1,352.4651472131677,Other Intel Processor,0,512,0,0,Intel,Windows
Asus,Notebook,4,2.0,64332.40319999999,0,0,141.21199808219862,Other Intel Processor,1024,0,0,0,Intel,Windows
MSI,Gaming,16,2.9,379448.97119999997,0,0,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows
Acer,Notebook,4,2.1,83594.72159999999,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows
Dell,Gaming,16,2.56,233627.61052799996,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows
Dell,Gaming,8,2.62,168124.5072,0,0,141.21199808219862,Intel Core i7,0,0,1024,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,93132.37439999999,0,0,100.45466986113651,Intel Core i5,0,128,0,0,Intel,Windows
MSI,Gaming,16,2.8,353454.192,0,0,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows
HP,Ultrabook,4,1.48,202347.8496,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows
HP,Notebook,6,1.91,115760.92319999999,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,117631.05119999997,1,1,157.3505121487356,Intel Core i3,0,256,0,0,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,245921.83199999997,1,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,196176.4272,1,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows
Toshiba,Notebook,4,2.1,83594.72159999999,0,0,100.45466986113651,Intel Core i3,500,0,0,0,Intel,Windows
Asus,Notebook,4,2.03,75366.1584,0,0,100.45466986113651,AMD Processor,1024,0,0,0,AMD,Windows
Acer,Notebook,4,3.0,150545.304,0,1,127.33567457123111,Intel Core i5,0,256,0,0,Nvidia,Windows
Dell,Notebook,8,2.13,136145.3184,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows
Lenovo,Gaming,16,2.5,201786.8112,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows
Acer,Notebook,4,2.1,65080.454399999995,0,0,100.45466986113651,Other Intel Processor,1024,0,0,0,Intel,Windows
MSI,Gaming,16,2.4,336436.0272,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows
Acer,Notebook,4,2.1,67981.02292799999,0,0,100.45466986113651,Other Intel Processor,1024,0,0,0,Intel,Windows
Dell,Gaming,8,2.56,198325.204272,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows
Acer,Notebook,8,3.0,159708.9312,0,1,127.33567457123111,Intel Core i5,0,256,0,0,Nvidia,Windows
HP,Notebook,4,1.49,141007.6512,0,1,165.6321180513006,Intel Core i5,500,0,0,0,Intel,Windows
Huawei,Ultrabook,8,1.05,252280.2672,0,1,199.69207064108247,Intel Core i5,0,256,0,0,Intel,Windows
HP,Notebook,6,2.71,130721.9472,0,1,127.33567457123111,Intel Core i5,2048,0,0,0,AMD,Windows
Lenovo,Notebook,4,2.2,57786.9552,0,0,100.45466986113651,AMD Processor,500,0,0,0,AMD,Others/No OS/Linux
Toshiba,Notebook,4,2.0,91449.25919999999,0,0,100.45466986113651,Intel Core i3,500,0,0,0,Intel,Windows
HP,Notebook,8,2.5,172612.8144,0,0,127.33567457123111,Intel Core i5,0,256,0,0,Nvidia,Windows
Dell,Notebook,8,2.3,85838.8752,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows
Acer,Notebook,4,2.1,83968.7472,0,0,100.45466986113651,Intel Core i3,0,128,0,0,Intel,Windows
MSI,Gaming,32,4.4,523448.8272,0,0,119.7232157653423,Intel Core i7,1024,512,0,0,Nvidia,Windows
Lenovo,Notebook,8,1.9,152041.40639999998,0,0,141.21199808219862,Intel Core i5,1024,128,0,0,AMD,Windows
HP,2 in 1 Convertible,8,1.29,280332.1872,1,1,331.2642361026012,Intel Core i5,0,256,0,0,Intel,Windows
Dell,Notebook,16,2.02,196176.4272,0,0,141.21199808219862,Intel Core i7,2048,256,0,0,AMD,Others/No OS/Linux
Dell,Ultrabook,8,1.23,261630.9072,0,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,345786.66719999997,1,1,316.96506044349616,Intel Core i7,0,512,0,0,Intel,Windows
Toshiba,Notebook,8,2.0,148301.15039999998,0,0,100.45466986113651,Intel Core i5,0,128,0,0,Intel,Windows
Xiaomi,Notebook,8,1.95,224228.3472,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux
Dell,Notebook,16,2.77,289682.8272,1,0,127.33567457123111,Intel Core i7,0,512,0,0,Nvidia,Windows
Dell,Notebook,16,2.06,448269.6816,1,0,282.42399616439724,Intel Core i7,0,512,0,0,Nvidia,Windows
Lenovo,Gaming,8,2.4,145682.9712,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux
Acer,Ultrabook,8,1.12,184955.6592,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
Dell,Notebook,8,2.8,202908.888,0,0,127.33567457123111,Intel Core i7,1024,128,0,0,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,528124.1472,1,0,209.8006828649808,Intel Core i7,0,1024,0,0,Intel,Windows
Vero,Notebook,4,1.3,48623.327999999994,0,1,157.3505121487356,Other Intel Processor,0,0,0,32,Intel,Windows
Xiaomi,Ultrabook,8,1.3,186994.09871999995,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux
Lenovo,Notebook,8,2.8,130534.9344,0,0,106.11306214269258,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,156903.73919999998,1,1,165.6321180513006,Intel Core i7,1024,0,0,0,Intel,Windows
HP,Notebook,8,2.5,170929.69919999997,0,1,127.33567457123111,Intel Core i5,1024,0,0,0,Nvidia,Windows
Razer,Gaming,32,3.49,1140591.0672,1,0,254.67134914246222,Intel Core i7,0,1024,0,0,Nvidia,Windows
HP,Notebook,8,1.49,179345.27519999997,0,0,165.6321180513006,Intel Core i5,0,512,0,0,Intel,Windows
HP,Gaming,16,3.35,257890.65119999996,0,1,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows
HP,Notebook,8,2.5,195428.376,0,0,127.33567457123111,Intel Core i7,0,256,0,0,Nvidia,Windows
Dell,Gaming,16,2.65,345038.616,0,1,282.42399616439724,Intel Core i7,1024,512,0,0,Nvidia,Windows
Lenovo,Notebook,4,2.1,92197.3104,0,0,100.45466986113651,Intel Core i5,0,128,0,0,Intel,Windows
Acer,Notebook,8,2.23,138763.4976,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,327085.3872,0,1,141.21199808219862,Intel Core i7,1024,512,0,0,Nvidia,Windows
Dell,Workstation,16,2.8,571324.1039999999,0,0,282.42399616439724,Other Intel Processor,1024,256,0,0,Nvidia,Windows
Lenovo,Gaming,16,2.4,261443.8944,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Others/No OS/Linux
Dell,Notebook,6,2.3,82098.61919999999,1,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows
Dell,Ultrabook,8,1.21,364487.9472,1,1,331.2642361026012,Intel Core i7,0,256,0,0,Intel,Windows
Dell,Ultrabook,8,1.2,270981.5472,0,0,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows
Lenovo,Notebook,8,2.2,111646.64159999999,0,0,100.45466986113651,Intel Core i5,0,256,0,0,Intel,Windows
Acer,Notebook,8,2.4,145682.9712,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Others/No OS/Linux
Asus,Gaming,16,2.9,263127.00959999993,0,0,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows
HP,Notebook,4,2.1,65267.4672,0,0,141.21199808219862,Intel Core i3,500,0,0,0,Intel,Others/No OS/Linux
Lenovo,Notebook,8,2.2,102670.0272,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,1.05,280332.1872,0,1,199.69207064108247,Intel Core i7,0,512,0,0,Intel,Windows
Dell,Ultrabook,8,1.4,174273.488064,0,1,165.6321180513006,Intel Core i7,0,256,0,0,AMD,Windows
Lenovo,Notebook,8,2.8,110150.53919999998,0,0,106.11306214269258,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux
HP,Notebook,8,1.63,192810.19679999998,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Nvidia,Windows
Dell,Ultrabook,8,1.6,214877.7072,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,239189.37119999997,1,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows
Dell,Notebook,8,2.2,126673.12008,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,1.74,168124.5072,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows
Toshiba,Ultrabook,8,1.2,254898.4464,0,0,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows
HP,Notebook,8,2.1,148488.16319999998,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Intel,Windows
Dell,Gaming,16,4.42,459367.02115199994,0,1,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows
Acer,Notebook,8,2.2,155594.64959999998,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows
Dell,Notebook,16,2.3,160645.86532799999,1,0,141.21199808219862,Intel Core i7,1024,0,0,0,AMD,Windows
Asus,Notebook,8,2.0,143812.8432,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows
