Company,TypeName,Ram,Weight,Touchscreen,IPS,PPI,Processor,HDD,SSD,Hybrid,Flash_Storage,Gpu Name,OS,Price
Lenovo,Notebook,8,2.3,0,1,141.21199808219862,Intel Core i5,1024,0,0,0,Intel,Windows,159084.308448
MSI,Gaming,16,2.4,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,336436.0272
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,149610.24
Asus,Notebook,4,2.2,0,0,100.45466986113652,Intel Core i7,500,0,0,0,Nvidia,Windows,134709.06009599997
Acer,Notebook,12,2.4,0,0,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,188695.9152
HP,Notebook,8,1.91,0,1,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,183085.5312
HP,Notebook,8,2.05,0,0,100.45466986113652,Intel Core i7,1024,0,0,0,Intel,Windows,111833.65439999998
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,500,0,0,0,Intel,Windows,141007.6512
Asus,2 in 1 Convertible,4,1.2,1,0,176.23257360658386,Other Intel Processor,0,0,0,64,Intel,Others/No OS/Linux,125111.5632
Dell,Ultrabook,4,1.5,0,0,125.36742798669836,Intel Core i3,500,0,0,0,Intel,Windows,212287.57992
Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738090785728,Other Intel Processor,0,0,0,64,Intel,Others/No OS/Linux,102670.0272
Asus,Gaming,16,4.3,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,336436.0272
Acer,Notebook,6,2.1,1,1,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows,89579.13119999999
Asus,Ultrabook,8,1.2,0,1,165.6321180513006,Other Intel Processor,0,512,0,0,Intel,Windows,136332.33120000002
HP,Notebook,8,2.04,0,0,100.45466986113652,Other Intel Processor,2048,0,0,0,Intel,Windows,72747.97919999999
Lenovo,Notebook,4,2.8,0,0,106.11306214269258,Intel Core i3,1024,0,0,0,Intel,Windows,91449.2592
Asus,Notebook,8,2.3,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Others/No OS/Linux,111646.6416
Apple,Ultrabook,8,1.35,0,0,127.67794013309688,Intel Core i5,0,0,0,128,Intel,Mac,205527.0672
Dell,Ultrabook,8,1.5,1,0,209.8006828649808,Intel Core i7,0,256,0,0,Intel,Windows,367102.38614399993
Lenovo,2 in 1 Convertible,16,1.4,1,1,316.96506044349616,Intel Core i7,0,512,0,0,Intel,Windows,345786.6672
HP,Notebook,6,2.1,0,0,141.21199808219862,AMD Processor,1024,128,0,0,AMD,Windows,121558.32
HP,Netbook,4,2.4,0,0,125.36742798669836,Intel Core i5,0,128,0,0,Intel,Windows,299033.4672
MSI,Gaming,16,2.43,0,1,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,364486.077072
MSI,Gaming,16,2.4,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,241994.56319999995
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,1024,128,0,0,AMD,Windows,93319.3872
HP,2 in 1 Convertible,4,1.45,1,0,135.0942111925629,Other Intel Processor,0,256,0,0,Intel,Windows,144934.91999999998
Asus,Gaming,16,4.3,0,1,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,439480.08
MSI,Gaming,32,4.4,0,0,119.7232157653423,Intel Core i7,1024,512,0,0,Nvidia,Windows,523448.8272
Lenovo,2 in 1 Convertible,8,1.3,1,1,276.053530085501,Intel Core i5,0,256,0,0,Intel,Windows,224228.3472
Acer,Notebook,4,3.3,0,0,106.11306214269258,Intel Core i3,1024,0,0,0,Nvidia,Windows,111833.65439999998
Dell,Notebook,8,1.6,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,225350.424
Dell,2 in 1 Convertible,12,2.19,1,1,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,242929.6272
Fujitsu,Notebook,4,2.3,0,0,100.45466986113652,Intel Core i5,0,256,0,0,Intel,Windows,121371.3072
Dell,Notebook,4,2.18,0,0,141.21199808219862,Intel Core i5,0,128,0,0,AMD,Others/No OS/Linux,106410.2832
Dell,Gaming,8,2.62,0,0,282.42399616439724,Intel Core i7,1024,128,0,0,Nvidia,Windows,280145.1744
HP,Notebook,8,2.04,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,200103.696
Dell,Notebook,8,2.18,0,0,100.45466986113652,Intel Core i5,0,128,0,0,Intel,Windows,133525.269072
Asus,Notebook,4,2.65,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Windows,57786.9552
HP,Workstation,8,3.0,0,1,127.33567457123112,Intel Core i7,0,256,0,0,Nvidia,Windows,738588.35232
HP,Ultrabook,4,1.26,0,0,176.23257360658386,Intel Core i5,500,0,0,0,Intel,Windows,287812.6992
Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1024,0,0,0,Nvidia,Windows,221984.1936
Toshiba,Ultrabook,16,1.05,0,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows,416290.4928
HP,Gaming,8,2.62,0,1,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,168124.5072
HP,Netbook,2,1.17,0,0,135.0942111925629,Other Intel Processor,0,0,0,32,Intel,Windows,39085.6752
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,253963.38239999997
Dell,Ultrabook,16,1.29,1,0,276.053530085501,Intel Core i7,0,512,0,0,Intel,Windows,418908.672
Lenovo,Notebook,4,1.9,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Others/No OS/Linux,47194.55020799999
Lenovo,Ultrabook,8,1.13,0,1,157.3505121487356,Intel Core i7,0,0,0,256,Intel,Windows,383189.2272
Dell,Gaming,16,3.21,0,0,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,383563.2528
Dell,Notebook,8,1.93,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,256020.5232
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,149125.876848
Toshiba,Ultrabook,8,1.47,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,322597.08
MSI,Gaming,16,2.8,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,353454.192
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Intel,Windows,145682.9712
Asus,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,69007.7232
Acer,Gaming,16,4.2,0,1,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,361869.768
Lenovo,Notebook,4,1.9,0,0,100.45466986113652,Intel Core i5,1024,0,0,0,Intel,Others/No OS/Linux,91617.57072
Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux,110150.53919999998
Lenovo,Notebook,8,1.87,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Nvidia,Windows,160283.060496
Asus,Netbook,2,0.98,0,0,135.0942111925629,Other Intel Processor,0,0,0,32,Intel,Windows,35887.75632
Lenovo,Notebook,8,1.7,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,221797.1808
Asus,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,177475.1472
Dell,Ultrabook,8,1.4,0,1,165.6321180513006,Intel Core i7,0,256,0,0,AMD,Windows,178597.224
Lenovo,Notebook,8,2.3,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux,107158.3344
Dell,Notebook,4,2.3,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,78291.038592
Asus,Notebook,4,2.0,0,0,127.33567457123112,Intel Core i3,1024,0,0,0,Nvidia,Windows,105475.2192
HP,Notebook,8,2.5,0,0,127.33567457123112,Intel Core i7,0,256,0,0,Nvidia,Windows,195428.376
Asus,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,69007.7232
Lenovo,Notebook,32,2.5,0,1,282.42399616439724,Other Intel Processor,0,1024,0,0,Nvidia,Windows,916175.7072
Lenovo,2 in 1 Convertible,8,1.19,1,1,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows,280332.1872
Dell,Notebook,8,2.16,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,211386.178224
HP,2 in 1 Convertible,8,1.29,1,1,331.2642361026012,Intel Core i7,0,512,0,0,Intel,Windows,373838.5872
Dell,2 in 1 Convertible,8,1.6,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,224228.3472
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Nvidia,Windows,192810.1968
Acer,Notebook,4,1.68,0,0,111.93520355955212,Other Intel Processor,0,0,0,32,Intel,Others/No OS/Linux,65267.4672
Lenovo,Notebook,4,1.7,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,130721.9472
Lenovo,Notebook,8,1.65,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,251532.216
MSI,Gaming,8,2.7,0,0,127.33567457123112,Intel Core i7,0,256,0,0,Nvidia,Windows,252280.2672
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Windows,108280.4112
LG,Ultrabook,16,1.08,1,1,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,392539.8672
HP,Notebook,4,2.1,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,64893.4416
Lenovo,Notebook,4,2.15,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Intel,Others/No OS/Linux,86465.36808
Dell,2 in 1 Convertible,12,1.6,1,1,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,242929.6272
Dell,Notebook,4,2.18,0,0,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,170649.18
Lenovo,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Others/No OS/Linux,60216.251472
Dell,Notebook,4,1.6,0,0,157.3505121487356,Intel Core i3,0,128,0,0,Intel,Windows,137617.10913599998
Asus,Ultrabook,16,1.63,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,274534.79039999994
Dell,Workstation,16,2.8,0,0,282.42399616439724,Other Intel Processor,1024,256,0,0,Nvidia,Windows,571324.1039999999
Asus,Gaming,8,2.24,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,250410.1392
HP,Workstation,8,2.0,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,355137.3072
Dell,Notebook,8,1.98,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Others/No OS/Linux,167378.326128
Dell,Gaming,16,4.36,0,0,169.78089942830815,Intel Core i7,1024,512,0,0,Nvidia,Windows,515781.3023999999
HP,Ultrabook,8,1.54,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Intel,Windows,349713.936
Dell,Gaming,16,4.42,0,1,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,563426.553456
Lenovo,2 in 1 Convertible,8,1.37,1,1,158.48253022174808,Intel Core i7,0,512,0,0,Intel,Windows,345786.6672
LG,Ultrabook,8,1.09,0,1,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,429942.4272
HP,Gaming,12,2.62,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,233578.9872
Asus,Ultrabook,16,1.3,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Nvidia,Windows,279584.13599999994
Dell,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,220488.0912
HP,Notebook,4,1.96,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Windows,93506.4
Asus,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,143812.8432
HP,Notebook,8,1.91,0,0,100.45466986113652,AMD Processor,0,128,0,0,AMD,Windows,83389.00752
Dell,Ultrabook,8,1.88,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,242742.6144
Dell,Notebook,8,2.02,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Intel,Windows,159895.944
Dell,2 in 1 Convertible,16,1.22,1,0,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,308384.1072
Lenovo,Ultrabook,16,1.14,0,1,157.3505121487356,Intel Core i7,0,512,0,0,Intel,Windows,458181.36
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Others/No OS/Linux,72747.97919999999
HP,Notebook,4,1.64,0,0,111.93520355955212,Intel Core i5,0,256,0,0,Intel,Windows,181963.4544
HP,Notebook,4,2.07,0,0,141.21199808219862,Intel Core i5,500,0,0,0,Intel,Windows,170181.648
Lenovo,Gaming,32,4.6,0,1,127.33567457123112,Intel Core i7,0,512,1024,0,Nvidia,Windows,605921.472
Lenovo,Notebook,8,2.29,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,85838.8752
Asus,Notebook,4,2.0,0,0,141.21199808219862,Other Intel Processor,1024,0,0,0,Intel,Windows,64332.40319999999
HP,Notebook,4,1.86,0,0,141.21199808219862,Intel Core i3,500,0,0,0,Intel,Others/No OS/Linux,64517.545872
Asus,Notebook,4,2.8,0,0,90.58340172449304,Other Intel Processor,1024,0,0,0,Nvidia,Windows,87959.60035199998
Dell,Notebook,16,2.77,1,0,127.33567457123112,Intel Core i7,0,512,0,0,Nvidia,Windows,289682.8272
Lenovo,Notebook,4,1.9,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,AMD,Others/No OS/Linux,68820.7104
Dell,Notebook,4,2.18,0,0,100.45466986113652,Intel Core i5,1024,0,0,0,AMD,Windows,128101.897872
Asus,Gaming,8,3.2,0,0,127.33567457123112,AMD Processor,1024,256,0,0,AMD,Windows,242929.6272
MSI,Gaming,16,3.78,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,448643.7072
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,512,0,0,AMD,Mac,474535.6293599999
MSI,Gaming,8,2.4,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,224228.3472
MSI,Gaming,8,2.7,0,0,127.33567457123112,Intel Core i7,1024,256,0,0,Nvidia,Windows,224228.3472
Vero,Notebook,4,1.3,0,1,157.3505121487356,Other Intel Processor,0,0,0,32,Intel,Windows,48623.328
Lenovo,2 in 1 Convertible,16,2.8,1,1,209.8006828649808,Intel Core i7,0,512,0,0,Intel,Windows,456311.232
Dell,Notebook,8,2.16,0,1,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,236010.1536
Toshiba,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,500,0,0,0,Intel,Windows,83594.72159999999
Apple,Ultrabook,8,1.35,0,0,127.67794013309688,Intel Core i5,0,0,0,256,Intel,Mac,186638.7744
Lenovo,Notebook,8,1.7,0,0,157.3505121487356,Intel Core i5,0,180,0,0,Intel,Windows,255085.4592
HP,Notebook,4,1.86,0,0,100.45466986113652,AMD Processor,500,0,0,0,AMD,Windows,74618.1072
Lenovo,Notebook,8,2.6,0,1,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,147553.0992
Dell,Workstation,16,2.17,0,1,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,437235.9264
Lenovo,2 in 1 Convertible,4,1.74,1,1,157.3505121487356,Intel Core i3,0,256,0,0,Intel,Windows,117631.05119999996
HP,Notebook,8,2.63,0,0,127.33567457123112,Intel Core i7,1024,0,0,0,Nvidia,Windows,239376.384
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,1024,0,0,0,Intel,Windows,151854.39359999998
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows,378700.92
Lenovo,Notebook,4,1.7,0,1,157.3505121487356,Intel Core i3,0,128,0,0,Intel,Windows,112020.6672
Lenovo,2 in 1 Convertible,8,1.4,1,1,158.48253022174808,Intel Core i5,0,256,0,0,Intel,Windows,299033.4672
MSI,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,224228.3472
HP,Notebook,8,1.91,0,0,100.45466986113652,Intel Core i5,0,256,0,0,AMD,Windows,115759.053072
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Others/No OS/Linux,151293.3552
Toshiba,Notebook,4,1.75,0,0,111.93520355955212,Intel Core i5,500,0,0,0,Intel,Windows,171116.71199999997
Lenovo,Notebook,16,2.5,0,0,141.21199808219862,Intel Core i7,0,0,1024,0,AMD,Windows,205527.0672
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,0,128,0,0,Intel,Others/No OS/Linux,75459.6648
Lenovo,Notebook,4,2.2,0,0,100.45466986113652,AMD Processor,500,0,0,0,AMD,Others/No OS/Linux,57786.9552
Dell,2 in 1 Convertible,8,2.191,1,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,186825.7872
Dell,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Others/No OS/Linux,51409.81872
HP,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,500,0,0,0,Intel,Windows,125014.316544
Lenovo,Notebook,6,2.8,0,0,106.11306214269258,Intel Core i7,1024,128,0,0,Nvidia,Windows,177475.1472
Microsoft,Ultrabook,16,1.25,1,0,200.84255993695703,Intel Core i7,0,512,0,0,Intel,Windows,484176.1391999999
MSI,Gaming,8,2.7,0,0,127.33567457123112,Intel Core i5,1024,128,0,0,Nvidia,Windows,204779.016
HP,Ultrabook,8,1.54,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Intel,Windows,274534.79039999994
Acer,Notebook,8,1.56,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,168685.54559999998
HP,Notebook,6,2.19,0,0,100.45466986113652,Intel Core i7,1024,0,0,0,AMD,Windows,142877.7792
Dell,Ultrabook,8,1.9,0,1,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,196176.4272
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,280332.1872
Dell,Notebook,4,2.18,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,109701.70848
Lenovo,Notebook,8,1.8,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,222732.2448
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,203843.952
Dell,Netbook,4,1.63,0,0,135.0942111925629,Other Intel Processor,0,128,0,0,Intel,Windows,139137.5232
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows,77591.61072
Lenovo,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Windows,57786.9552
Acer,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,0,128,0,0,Intel,Others/No OS/Linux,77049.2736
Lenovo,Notebook,8,1.95,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,205153.0416
Asus,Notebook,8,2.3,0,0,141.21199808219862,Intel Core i5,128,0,0,0,Intel,Windows,110337.552
Lenovo,Ultrabook,4,1.7,0,0,157.3505121487356,Intel Core i5,0,180,0,0,Intel,Windows,204966.0288
Lenovo,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,0,0,Intel,Windows,78358.36319999999
Lenovo,Notebook,8,2.5,0,0,141.21199808219862,Intel Core i5,0,0,1024,0,AMD,Windows,147457.72267199997
Dell,Gaming,16,4.42,0,1,169.78089942830815,Intel Core i7,1024,256,0,0,Nvidia,Windows,523448.8272
Dell,Notebook,8,2.3,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,Intel,Windows,85838.8752
HP,Notebook,4,1.86,0,0,100.45466986113652,Intel Core i3,500,0,0,0,Intel,Others/No OS/Linux,68240.97072
HP,Notebook,8,2.63,0,0,127.33567457123112,Intel Core i7,0,256,0,0,Nvidia,Windows,224415.36
Acer,Notebook,4,2.23,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Windows,101734.9632
Acer,Notebook,4,2.4,0,0,100.45466986113652,Intel Core i3,500,0,0,0,Intel,Others/No OS/Linux,67661.23104
Dell,Notebook,8,1.98,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Intel,Others/No OS/Linux,135771.2928
Toshiba,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Windows,112581.7056
Asus,Gaming,16,3.2,0,0,127.33567457123112,AMD Processor,1024,256,0,0,AMD,Windows,289682.8272
HP,Ultrabook,8,1.84,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,259760.7792
Dell,Notebook,4,1.95,0,0,100.45466986113652,Intel Core i5,500,0,0,0,Intel,Windows,136500.64272
Dell,Ultrabook,16,1.21,1,1,331.2642361026012,Intel Core i7,0,1024,0,0,Intel,Windows,467344.9872
Acer,Notebook,4,2.1,0,0,100.45466986113652,Other Intel Processor,1024,0,0,0,Intel,Windows,67981.02292799999
HP,Notebook,4,1.95,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,225350.424
Asus,Gaming,8,1.99,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,252467.28
Lenovo,Ultrabook,24,1.32,0,0,209.8006828649808,Intel Core i7,0,512,0,0,Intel,Windows,445464.4896
MSI,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows,203656.9392
Acer,Notebook,4,1.6,0,0,117.82653006268644,Intel Core i5,0,128,0,0,Intel,Windows,122493.384
Dell,2 in 1 Convertible,8,1.56,1,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,196176.4272
Asus,Ultrabook,8,1.25,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,196176.4272
Asus,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux,97059.6432
Dell,Notebook,8,2.33,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows,168124.5072
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,0,0,AMD,Windows,93300.68592
Dell,Gaming,16,2.56,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,233627.610528
Acer,Notebook,2,1.68,0,0,111.93520355955212,Other Intel Processor,0,0,0,32,Intel,Others/No OS/Linux,61714.22399999999
Lenovo,2 in 1 Convertible,4,2.1,1,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,162140.0976
Lenovo,2 in 1 Convertible,8,1.27,1,1,209.8006828649808,Intel Core i7,0,256,0,0,Intel,Windows,437422.9392
HP,Notebook,6,2.04,0,0,141.21199808219862,AMD Processor,0,0,1024,0,AMD,Windows,102855.16987199998
Asus,Gaming,32,3.58,0,1,127.33567457123112,Intel Core i7,0,512,0,0,Nvidia,Windows,239189.3712
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i5,0,512,0,0,Intel,Windows,179345.27519999995
MSI,Gaming,16,1.8,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,391694.569344
Toshiba,Notebook,8,2.0,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,259573.7664
MSI,Gaming,16,1.8,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,360747.6912
Dell,Notebook,4,2.18,0,0,100.45466986113652,Intel Core i3,1024,0,0,0,AMD,Others/No OS/Linux,86960.95199999999
Asus,Gaming,24,2.24,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,555053.9904
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,140072.5872
Lenovo,Ultrabook,8,1.17,0,1,209.8006828649808,Intel Core i7,0,512,0,0,Intel,Windows,315423.268992
Lenovo,Ultrabook,16,1.1,0,1,209.8006828649808,Intel Core i7,0,512,0,0,Intel,Windows,392539.8672
Dell,Notebook,16,2.2,0,0,141.21199808219862,Intel Core i7,2048,256,0,0,AMD,Windows,212259.528
Dell,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,213708.8772
Toshiba,Notebook,8,1.5,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,181963.4544
Dell,Notebook,32,2.06,1,0,282.42399616439724,Intel Core i7,0,1024,0,0,Nvidia,Windows,493526.77919999993
Dell,Notebook,8,1.6,0,0,111.93520355955212,Intel Core i5,0,256,0,0,Intel,Windows,210709.191888
HP,Notebook,8,2.04,0,0,100.45466986113652,Intel Core i7,2048,0,0,0,Intel,Windows,117631.05119999996
