Company,TypeName,Ram,OpSys,Weight,CPU,GPU,TouchScreen,IPS,HDD,SSD,PPI
Dell,Notebook,8,Windows,2.8,Intel Core i5,AMD,0,1,,128,127.33567457123111
HP,Notebook,4,Windows,1.86,Intel Core i5,Intel,0,0,,,100.45466986113651
HP,Notebook,8,Windows,2.1,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Asus,Notebook,4,Other,2.0,Intel Core i3,Intel,0,0,,,141.21199808219862
Dell,Gaming,16,Windows,2.65,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Asus,Notebook,8,Other,2.3,Intel Core i5,Nvidia,0,0,,,100.45466986113651
Acer,Notebook,4,Windows,2.2,Intel Core i5,Intel,0,1,,256,141.21199808219862
Dell,2 in 1 Convertible,12,Windows,2.77,Intel Core i5,Nvidia,1,0,,,127.33567457123111
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,Intel,0,1,,256,226.98300468106115
Lenovo,Notebook,4,Other,2.2,Intel Core i3,Intel,0,0,,128,100.45466986113651
Asus,Gaming,8,Windows,3.2,AMD,AMD,0,0,,256,127.33567457123111
Dell,Notebook,4,Windows,2.3,Intel Core i5,AMD,0,0,,256,141.21199808219862
Asus,Notebook,4,Windows,2.8,Other Intel Processor,Nvidia,0,0,,,90.58340172449303
Lenovo,2 in 1 Convertible,4,Other,0.69,Other Intel Processor,Intel,1,1,,,224.17380907857276
Acer,Notebook,8,Windows,2.2,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
HP,Notebook,4,Windows,1.86,AMD,AMD,0,0,,256,141.21199808219862
HP,Notebook,8,Windows,1.49,Intel Core i7,Intel,0,0,,512,165.6321180513006
Acer,Notebook,4,Windows,2.4,Intel Core i3,Intel,0,0,,,100.45466986113651
Dell,Notebook,8,Windows,2.13,Intel Core i7,AMD,0,0,,256,141.21199808219862
HP,Notebook,4,Windows,1.91,Intel Core i3,Intel,0,0,,128,141.21199808219862
Asus,Notebook,4,Windows,2.0,Intel Core i5,Intel,0,0,,256,100.45466986113651
MSI,Gaming,16,Windows,2.43,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Asus,Notebook,4,Other,2.0,Intel Core i3,Intel,0,0,,256,141.21199808219862
Dell,Notebook,16,Windows,2.8,Intel Core i7,AMD,0,0,,256,127.33567457123111
Dell,Ultrabook,8,Windows,1.7,Intel Core i5,Intel,0,0,,256,157.3505121487356
Lenovo,Notebook,8,Other,1.7,Intel Core i3,Intel,0,1,,256,157.3505121487356
Asus,Notebook,8,Windows,1.4,Intel Core i5,Intel,0,0,,256,157.3505121487356
HP,Notebook,8,Windows,1.86,Intel Core i5,Intel,0,0,,256,141.21199808219862
Asus,Ultrabook,16,Windows,1.8,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
HP,Notebook,4,Windows,1.86,Intel Core i3,AMD,0,0,0,,100.45466986113651
HP,Notebook,4,Windows,1.44,Other Intel Processor,Intel,0,0,,32,111.93520355955211
Lenovo,Notebook,4,Windows,1.9,Intel Core i5,Intel,0,0,,,141.21199808219862
Asus,Gaming,12,Other,3.0,Intel Core i7,Nvidia,0,0,,,127.33567457123111
Microsoft,Ultrabook,4,Windows,1.252,Intel Core i5,Intel,1,0,,128,200.84255993695703
Dell,Ultrabook,8,Windows,1.4,Intel Core i7,AMD,0,1,,256,165.6321180513006
Dell,Notebook,8,Windows,2.2,Intel Core i7,AMD,0,0,,256,141.21199808219862
MSI,Gaming,8,Windows,2.7,Intel Core i5,Nvidia,0,0,,128,127.33567457123111
Acer,Notebook,8,Windows,2.1,Intel Core i3,Intel,0,0,,,111.93520355955211
Asus,Gaming,8,Windows,2.2,Intel Core i7,Nvidia,0,0,,,141.21199808219862
Lenovo,Notebook,8,Other,2.2,Intel Core i5,Intel,0,0,,,141.21199808219862
Dell,Notebook,8,Windows,2.02,Intel Core i7,Intel,0,0,,128,141.21199808219862
Acer,Notebook,4,Windows,2.2,Intel Core i3,Nvidia,0,0,,,141.21199808219862
HP,Notebook,8,Windows,2.5,Intel Core i5,Nvidia,0,0,,128,127.33567457123111
Dell,Ultrabook,8,Windows,1.88,Intel Core i5,Intel,0,1,,256,141.21199808219862
Apple,Ultrabook,8,Mac,0.92,Intel Core i5,Intel,0,1,,512,226.41554716935852
HP,Notebook,8,Windows,1.63,Intel Core i5,Intel,0,0,,256,157.3505121487356
Lenovo,Notebook,4,Windows,2.2,AMD,AMD,0,0,,128,141.21199808219862
Acer,Notebook,4,Windows,2.1,AMD,AMD,0,0,,,100.45466986113651
Dell,Gaming,16,Windows,2.65,Intel Core i7,Nvidia,0,1,,128,141.21199808219862
HP,Ultrabook,8,Windows,1.83,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
HP,Notebook,8,Windows,1.96,Intel Core i5,Intel,0,0,,256,141.21199808219862
Asus,Gaming,16,Windows,2.2,Intel Core i7,Nvidia,0,1,,128,141.21199808219862
Dell,Ultrabook,8,Windows,1.21,Intel Core i7,Intel,0,1,,256,165.6321180513006
Asus,Gaming,8,Windows,2.45,AMD,AMD,0,0,,,141.21199808219862
Acer,Notebook,8,Windows,2.2,Intel Core i7,Nvidia,0,0,,,141.21199808219862
HP,Notebook,16,Windows,1.49,Intel Core i7,Intel,0,0,,512,165.6321180513006
Dell,Gaming,8,Windows,2.65,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Asus,Ultrabook,8,Windows,1.25,Intel Core i7,Intel,0,0,,256,157.3505121487356
Acer,2 in 1 Convertible,8,Windows,1.5,Intel Core i5,Intel,1,1,,256,165.6321180513006
Dell,Notebook,8,Other,2.2,Intel Core i7,AMD,0,0,,,141.21199808219862
Dell,Notebook,4,Other,2.2,Intel Core i3,AMD,0,0,,256,141.21199808219862
Asus,Notebook,6,Windows,2.0,Intel Core i3,Nvidia,0,0,,256,141.21199808219862
HP,Gaming,12,Windows,2.62,Intel Core i7,Nvidia,0,1,,128,141.21199808219862
HP,Notebook,8,Windows,1.91,Intel Core i7,AMD,0,0,,256,141.21199808219862
HP,Notebook,4,Windows,2.1,AMD,AMD,0,0,0,,141.21199808219862
Dell,Notebook,8,Other,2.2,Intel Core i5,AMD,0,0,,,141.21199808219862
HP,Ultrabook,8,Windows,1.38,Intel Core i7,Nvidia,0,1,,256,165.6321180513006
Microsoft,Ultrabook,8,Windows,1.252,Intel Core i5,Intel,1,0,,256,200.84255993695703
HP,Notebook,6,Windows,1.58,Intel Core i5,Nvidia,0,1,,256,157.3505121487356
Lenovo,Notebook,4,Windows,1.85,Intel Core i3,Intel,0,0,,,141.21199808219862
Asus,Ultrabook,8,Windows,1.3,Intel Core i7,Nvidia,0,1,,256,157.3505121487356
MSI,Gaming,16,Windows,2.2,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Lenovo,Notebook,8,Windows,1.58,Intel Core i7,Intel,0,1,,256,157.3505121487356
Asus,Ultrabook,16,Windows,1.5,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Dell,Ultrabook,8,Windows,1.23,Intel Core i7,Intel,1,0,,256,276.053530085501
Lenovo,2 in 1 Convertible,8,Windows,1.37,Intel Core i5,Intel,1,1,,256,165.6321180513006
HP,Notebook,4,Windows,1.63,Intel Core i5,Intel,0,1,0,,111.93520355955211
Dell,Ultrabook,8,Windows,1.21,Intel Core i5,Intel,0,1,,256,165.6321180513006
HP,2 in 1 Convertible,8,Windows,1.26,Intel Core i5,Intel,1,1,,256,165.6321180513006
HP,Notebook,8,Windows,1.63,Intel Core i7,Intel,0,0,,512,157.3505121487356
Dell,Notebook,8,Windows,2.16,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Asus,Notebook,4,Windows,2.0,Intel Core i3,Nvidia,0,0,,,127.33567457123111
Asus,Notebook,8,Windows,1.7,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Acer,Notebook,6,Windows,2.1,Intel Core i3,Intel,1,1,,,141.21199808219862
MSI,Gaming,16,Windows,1.8,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Lenovo,Notebook,8,Other,2.2,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
HP,Notebook,16,Windows,2.5,Intel Core i7,Nvidia,0,0,,512,127.33567457123111
Acer,Notebook,4,Windows,2.1,AMD,AMD,0,0,,256,100.45466986113651
HP,Notebook,4,Other,1.86,Other Intel Processor,Intel,0,0,0,,100.45466986113651
HP,Notebook,8,Windows,1.63,Intel Core i5,Intel,0,0,,,157.3505121487356
Asus,Notebook,4,Windows,1.65,AMD,AMD,0,0,,64,111.93520355955211
Dell,Notebook,16,Windows,2.8,Intel Core i7,AMD,0,0,,256,127.33567457123111
HP,Notebook,8,Windows,2.5,Intel Core i5,Intel,0,0,,256,127.33567457123111
Dell,Notebook,8,Windows,2.36,Intel Core i5,AMD,0,0,,,100.45466986113651
Dell,Notebook,4,Windows,2.2,Intel Core i3,AMD,0,0,,,141.21199808219862
Acer,Ultrabook,8,Windows,1.6,Intel Core i7,Intel,0,1,,256,157.3505121487356
Acer,Notebook,4,Windows,2.2,Intel Core i3,Nvidia,0,0,,256,141.21199808219862
HP,Notebook,8,Windows,2.05,Intel Core i7,Intel,0,0,,,100.45466986113651
HP,Notebook,8,Windows,1.63,Intel Core i7,Intel,0,0,,256,157.3505121487356
Lenovo,Notebook,4,Other,1.9,Other Intel Processor,Intel,0,0,,,100.45466986113651
Asus,Gaming,8,Windows,3.0,Intel Core i5,Nvidia,0,0,,128,127.33567457123111
Lenovo,Notebook,4,Other,2.2,Intel Core i5,Nvidia,0,0,,,141.21199808219862
HP,Notebook,4,Windows,1.32,Intel Core i5,Intel,0,1,,256,165.6321180513006
Acer,Notebook,4,Windows,3.0,Intel Core i3,Nvidia,0,1,,,127.33567457123111
Lenovo,Notebook,8,Windows,1.75,Intel Core i5,AMD,0,1,,256,157.3505121487356
Lenovo,Gaming,8,Other,2.4,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Toshiba,Notebook,4,Windows,2.1,Intel Core i5,Intel,0,0,0,,100.45466986113651
HP,Notebook,4,Windows,1.86,AMD,AMD,0,0,,256,100.45466986113651
Asus,Ultrabook,8,Windows,1.25,Intel Core i7,Intel,0,0,,256,157.3505121487356
HP,Ultrabook,8,Windows,0.97,Other Intel Processor,Intel,1,1,,512,352.4651472131677
Asus,Notebook,4,Windows,2.0,Other Intel Processor,Intel,0,0,,,141.21199808219862
MSI,Gaming,16,Windows,2.9,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Acer,Notebook,4,Windows,2.1,Intel Core i3,Intel,0,0,,,100.45466986113651
Dell,Gaming,16,Windows,2.56,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
Dell,Gaming,8,Windows,2.62,Intel Core i7,Nvidia,0,0,,,141.21199808219862
Lenovo,Notebook,4,Windows,1.9,Intel Core i5,Intel,0,0,,128,100.45466986113651
MSI,Gaming,16,Windows,2.8,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
HP,Ultrabook,4,Windows,1.48,Intel Core i5,Intel,0,0,,256,157.3505121487356
HP,Notebook,6,Windows,1.91,Intel Core i5,AMD,0,0,,256,141.21199808219862
Lenovo,2 in 1 Convertible,4,Windows,1.74,Intel Core i3,Intel,1,1,,256,157.3505121487356
Asus,2 in 1 Convertible,8,Windows,1.1,Intel Core i5,Intel,1,0,,256,165.6321180513006
Dell,2 in 1 Convertible,8,Windows,1.56,Intel Core i7,Intel,1,0,,256,141.21199808219862
Toshiba,Notebook,4,Windows,2.1,Intel Core i3,Intel,0,0,0,,100.45466986113651
Asus,Notebook,4,Windows,2.03,AMD,AMD,0,0,,,100.45466986113651
Acer,Notebook,4,Windows,3.0,Intel Core i5,Nvidia,0,1,,256,127.33567457123111
Dell,Notebook,8,Windows,2.13,Intel Core i5,AMD,0,0,,256,141.21199808219862
Lenovo,Gaming,16,Windows,2.5,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Acer,Notebook,4,Windows,2.1,Other Intel Processor,Intel,0,0,,,100.45466986113651
MSI,Gaming,16,Windows,2.4,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Acer,Notebook,4,Windows,2.1,Other Intel Processor,Intel,0,0,,,100.45466986113651
Dell,Gaming,8,Windows,2.56,Intel Core i7,Nvidia,0,0,,128,141.21199808219862
Acer,Notebook,8,Windows,3.0,Intel Core i5,Nvidia,0,1,,256,127.33567457123111
HP,Notebook,4,Windows,1.49,Intel Core i5,Intel,0,1,0,,165.6321180513006
Huawei,Ultrabook,8,Windows,1.05,Intel Core i5,Intel,0,1,,256,199.69207064108247
HP,Notebook,6,Windows,2.71,Intel Core i5,AMD,0,1,,,127.33567457123111
Lenovo,Notebook,4,Other,2.2,AMD,AMD,0,0,0,,100.45466986113651
Toshiba,Notebook,4,Windows,2.0,Intel Core i3,Intel,0,0,0,,100.45466986113651
HP,Notebook,8,Windows,2.5,Intel Core i5,Nvidia,0,0,,256,127.33567457123111
Dell,Notebook,8,Windows,2.3,Intel Core i3,Intel,0,0,,,100.45466986113651
Acer,Notebook,4,Windows,2.1,Intel Core i3,Intel,0,0,,128,100.45466986113651
MSI,Gaming,32,Windows,4.4,Intel Core i7,Nvidia,0,0,,512,119.7232157653423
Lenovo,Notebook,8,Windows,1.9,Intel Core i5,AMD,0,0,,128,141.21199808219862
HP,2 in 1 Convertible,8,Windows,1.29,Intel Core i5,Intel,1,1,,256,331.2642361026012
Dell,Notebook,16,Other,2.02,Intel Core i7,AMD,0,0,,256,141.21199808219862
Dell,Ultrabook,8,Windows,1.23,Intel Core i5,Intel,0,0,,256,165.6321180513006
Lenovo,2 in 1 Convertible,16,Windows,1.4,Intel Core i7,Intel,1,1,,512,316.96506044349616
Toshiba,Notebook,8,Windows,2.0,Intel Core i5,Intel,0,0,,128,100.45466986113651
Xiaomi,Notebook,8,Other,1.95,Intel Core i5,Nvidia,0,1,,256,141.21199808219862
Dell,Notebook,16,Windows,2.77,Intel Core i7,Nvidia,1,0,,512,127.33567457123111
Dell,Notebook,16,Windows,2.06,Intel Core i7,Nvidia,1,0,,512,282.42399616439724
Lenovo,Gaming,8,Other,2.4,Intel Core i5,Nvidia,0,1,,256,141.21199808219862
Acer,Ultrabook,8,Windows,1.12,Intel Core i5,Intel,0,1,,256,165.6321180513006
Dell,Notebook,8,Windows,2.8,Intel Core i7,AMD,0,0,,128,127.33567457123111
Lenovo,2 in 1 Convertible,16,Windows,1.42,Intel Core i7,Intel,1,0,,,209.8006828649808
Vero,Notebook,4,Windows,1.3,Other Intel Processor,Intel,0,1,,,157.3505121487356
Xiaomi,Ultrabook,8,Other,1.3,Intel Core i5,Nvidia,0,1,,256,165.6321180513006
Lenovo,Notebook,8,Other,2.8,Intel Core i5,Nvidia,0,0,,256,106.11306214269258
Dell,2 in 1 Convertible,8,Windows,1.62,Intel Core i7,Intel,1,1,,,165.6321180513006
HP,Notebook,8,Windows,2.5,Intel Core i5,Nvidia,0,1,,,127.33567457123111
Razer,Gaming,32,Windows,3.49,Intel Core i7,Nvidia,1,0,,,254.67134914246222
HP,Notebook,8,Windows,1.49,Intel Core i5,Intel,0,0,,512,165.6321180513006
HP,Gaming,16,Windows,3.35,Intel Core i7,Nvidia,0,1,,256,127.33567457123111
HP,Notebook,8,Windows,2.5,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Dell,Gaming,16,Windows,2.65,Intel Core i7,Nvidia,0,1,,512,282.42399616439724
Lenovo,Notebook,4,Windows,2.1,Intel Core i5,Intel,0,0,,128,100.45466986113651
Acer,Notebook,8,Windows,2.23,Intel Core i7,Nvidia,0,0,,,141.21199808219862
Lenovo,Gaming,16,Windows,3.2,Intel Core i7,Nvidia,0,1,,512,141.21199808219862
Dell,Workstation,16,Windows,2.8,Other Intel Processor,Nvidia,0,0,,256,282.42399616439724
Lenovo,Gaming,16,Other,2.4,Intel Core i7,Nvidia,0,0,,512,141.21199808219862
Dell,Notebook,6,Windows,2.3,Intel Core i3,Intel,1,0,,,100.45466986113651
Dell,Ultrabook,8,Windows,1.21,Intel Core i7,Intel,1,1,,256,331.2642361026012
Dell,Ultrabook,8,Windows,1.2,Intel Core i7,Intel,0,0,,256,165.6321180513006
Lenovo,Notebook,8,Windows,2.2,Intel Core i5,Intel,0,0,,256,100.45466986113651
Acer,Notebook,8,Other,2.4,Intel Core i7,Nvidia,0,0,,,141.21199808219862
Asus,Gaming,16,Windows,2.9,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
HP,Notebook,4,Other,2.1,Intel Core i3,Intel,0,0,0,,141.21199808219862
Lenovo,Notebook,8,Other,2.2,Intel Core i5,Intel,0,0,,256,141.21199808219862
Huawei,Ultrabook,8,Windows,1.05,Intel Core i7,Intel,0,1,,512,199.69207064108247
Dell,Ultrabook,8,Windows,1.4,Intel Core i7,AMD,0,1,,256,165.6321180513006
Lenovo,Notebook,8,Other,2.8,Intel Core i5,Nvidia,0,0,,,106.11306214269258
HP,Notebook,8,Windows,1.63,Intel Core i7,Nvidia,0,0,,256,157.3505121487356
Dell,Ultrabook,8,Windows,1.6,Intel Core i5,Intel,0,0,,256,157.3505121487356
Dell,2 in 1 Convertible,16,Windows,1.62,Intel Core i7,Intel,1,0,,512,165.6321180513006
Dell,Notebook,8,Other,2.2,Intel Core i5,AMD,0,0,,256,141.21199808219862
Lenovo,2 in 1 Convertible,8,Windows,1.74,Intel Core i5,Intel,0,1,,256,157.3505121487356
Toshiba,Ultrabook,8,Windows,1.2,Intel Core i7,Intel,0,0,,256,165.6321180513006
HP,Notebook,8,Windows,2.1,Intel Core i5,Intel,0,0,,,141.21199808219862
Dell,Gaming,16,Windows,4.42,Intel Core i7,Nvidia,0,1,,256,127.33567457123111
Acer,Notebook,8,Windows,2.2,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Dell,Notebook,16,Windows,2.3,Intel Core i7,AMD,1,0,,,141.21199808219862
Asus,Notebook,8,Windows,2.0,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Asus,Notebook,8,Windows,2.69,Intel Core i5,Nvidia,0,0,0,256,127.33567457123111
HP,Notebook,8,Windows,1.9,Intel Core i7,AMD,0,0,,,141.21199808219862
Asus,Notebook,4,Windows,2.37,Intel Core i3,Intel,0,0,,,100.45466986113651
HP,Notebook,4,Windows,2.1,AMD,AMD,0,0,0,,100.45466986113651
Lenovo,Gaming,16,Windows,3.2,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Dell,Notebook,8,Windows,1.6,Intel Core i5,Intel,0,0,,256,157.3505121487356
Acer,2 in 1 Convertible,8,Windows,1.6,Intel Core i5,Intel,1,1,,256,165.6321180513006
Dell,Notebook,16,Other,2.36,Intel Core i7,AMD,0,0,,256,141.21199808219862
Acer,Notebook,4,Other,2.1,Intel Core i3,Intel,0,0,,,100.45466986113651
Asus,Notebook,4,Windows,2.2,AMD,AMD,0,0,,128,141.21199808219862
Asus,Gaming,32,Windows,4.7,Intel Core i7,Nvidia,0,0,,512,127.33567457123111
Acer,Gaming,8,Windows,2.5,Intel Core i5,Nvidia,0,1,,256,141.21199808219862
Lenovo,Notebook,8,Windows,2.2,Intel Core i3,Intel,0,0,,128,100.45466986113651
Asus,Notebook,8,Windows,2.1,Intel Core i7,Nvidia,0,0,,128,127.33567457123111
Asus,Notebook,8,Other,2.69,Intel Core i7,Nvidia,0,0,,128,127.33567457123111
Dell,Gaming,8,Windows,2.56,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Lenovo,2 in 1 Convertible,8,Windows,1.38,Intel Core i7,Intel,1,1,,256,158.48253022174808
Dell,Notebook,8,Windows,2.2,Intel Core i7,AMD,0,0,,128,141.21199808219862
HP,Notebook,8,Windows,2.04,Intel Core i5,Intel,1,0,,,100.45466986113651
Asus,Gaming,16,Windows,3.6,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
HP,Notebook,4,Windows,1.49,Intel Core i5,Intel,0,1,0,,165.6321180513006
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,Intel,0,1,,512,226.98300468106115
Dell,2 in 1 Convertible,8,Windows,2.08,Intel Core i7,Intel,1,1,,,141.21199808219862
Asus,Gaming,16,Windows,4.3,Intel Core i7,Nvidia,0,0,,256,127.33567457123111
Asus,Notebook,4,Windows,1.68,AMD,AMD,0,0,,,100.45466986113651
Lenovo,2 in 1 Convertible,8,Windows,1.37,Intel Core i7,Intel,1,1,,512,158.48253022174808
Acer,Notebook,4,Windows,3.0,Intel Core i3,Nvidia,0,1,,256,127.33567457123111
Dell,Ultrabook,8,Windows,1.41,Intel Core i5,Intel,0,0,,256,165.6321180513006
HP,Notebook,8,Windows,1.91,AMD,AMD,0,0,,128,100.45466986113651
HP,Notebook,16,Windows,2.9,Intel Core i7,Nvidia,0,1,,,127.33567457123111
MSI,Gaming,16,Windows,4.14,Intel Core i7,Nvidia,0,0,,512,127.33567457123111
Lenovo,2 in 1 Convertible,8,Windows,2.0,Intel Core i7,Nvidia,1,1,,512,141.21199808219862
Dell,Notebook,8,Windows,2.8,Intel Core i7,AMD,0,0,,128,127.33567457123111
Lenovo,Notebook,4,Other,2.2,Intel Core i3,Intel,0,0,,256,141.21199808219862
HP,Notebook,4,Windows,2.1,Intel Core i5,Intel,0,1,0,,141.21199808219862
Dell,Notebook,4,Windows,2.18,Intel Core i5,Intel,0,0,,,141.21199808219862
Dell,Notebook,8,Windows,2.24,Intel Core i5,AMD,0,0,,,141.21199808219862
Dell,2 in 1 Convertible,8,Windows,2.67,Intel Core i5,Intel,1,0,,256,141.21199808219862
Asus,2 in 1 Convertible,8,Windows,1.1,Intel Core i7,Intel,1,0,,512512,165.6321180513006
Lenovo,Notebook,4,Other,2.2,Intel Core i5,Intel,0,0,,,141.21199808219862
HP,Notebook,8,Windows,2.5,Intel Core i7,Nvidia,0,0,,,127.33567457123111
Lenovo,Notebook,8,Windows,2.05,Intel Core i7,Intel,0,0,,256,141.21199808219862
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,Intel,0,1,,512,226.98300468106115
Asus,Gaming,16,Windows,3.2,AMD,AMD,0,0,,256,127.33567457123111
Dell,Notebook,8,Other,2.14,Intel Core i7,AMD,0,0,,256,141.21199808219862
Lenovo,2 in 1 Convertible,16,Windows,1.36,Intel Core i7,Intel,1,0,,512,209.8006828649808
Toshiba,Notebook,8,Windows,2.2,Intel Core i7,Nvidia,0,0,0,,100.45466986113651
Dell,Notebook,12,Windows,2.3,Intel Core i7,Intel,0,0,,,100.45466986113651
Dell,Notebook,8,Other,2.8,Intel Core i7,AMD,0,0,,128,127.33567457123111
Acer,Notebook,8,Windows,2.2,Intel Core i7,Nvidia,0,1,,,141.21199808219862
Lenovo,Notebook,4,Windows,2.8,Intel Core i3,Intel,0,0,,,106.11306214269258
Lenovo,Notebook,8,Other,2.8,Intel Core i7,Nvidia,0,0,,,127.33567457123111
Lenovo,Notebook,6,Windows,2.8,Intel Core i7,Nvidia,0,0,,128,106.11306214269258
Dell,Notebook,4,Other,2.25,Intel Core i3,AMD,0,0,,,141.21199808219862
Lenovo,Gaming,8,Windows,2.5,Intel Core i5,Nvidia,0,1,,256,141.21199808219862
Lenovo,Notebook,6,Windows,2.2,Intel Core i5,Intel,0,0,,256,141.21199808219862
Acer,Notebook,8,Windows,3.0,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Acer,Notebook,12,Windows,2.15,Intel Core i7,Intel,1,1,,,141.21199808219862
Lenovo,Notebook,8,Windows,1.95,Intel Core i7,Intel,0,1,,256,141.21199808219862
Asus,Ultrabook,8,Windows,1.7,Intel Core i5,Nvidia,0,0,,256,141.21199808219862
Lenovo,Gaming,16,Windows,2.5,Intel Core i7,Nvidia,0,1,,256,141.21199808219862
Lenovo,Notebook,8,Other,2.2,Intel Core i7,Nvidia,0,0,,,141.21199808219862
Acer,Notebook,2,Other,2.19,Other Intel Processor,Intel,0,0,,16,100.45466986113651
Asus,Gaming,8,Windows,3.0,Intel Core i7,Nvidia,0,0,,,127.33567457123111
HP,Notebook,8,Windows,2.54,Intel Core i3,Intel,0,0,,,106.11306214269258
Dell,Notebook,8,Windows,2.0,Intel Core i7,Nvidia,0,0,,256,141.21199808219862
Lenovo,Notebook,8,Windows,2.05,Intel Core i5,Intel,0,0,,256,141.21199808219862
