Price,Company,TypeName,Inches,Ram,OpSys,Weight,Touchscreen,Ips,HD,cpu_name,gpu_name,Memory_Type
153163.4832,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,1,0,1,Intel Core i5,Intel UHD,SSD
123241.43519999998,HP,Ultrabook,15.6,8,Windows 10,1.91,0,0,1,Intel Core i7,Intel HD,SSD
78291.038592,Dell,Notebook,15.6,4,Windows 10,2.3,0,0,0,Intel Core i3,Intel HD,HDD
205527.0672,Apple,Ultrabook,13.3,8,Other,1.35,0,0,0,Intel Core i5,Intel HD,Flash Storage
149610.24,Dell,Notebook,15.6,8,Windows 10,2.2,0,0,1,Intel Core i5,AMD,SSD
242742.6144,Dell,Ultrabook,15.6,8,Windows 10,1.88,0,0,1,Intel Core i7,Intel UHD,SSD
167563.46879999997,HP,Notebook,17.3,8,Windows 10,2.5,0,0,1,Intel Core i5,Nvidia GeForce,HDD
45816.265871999996,Other,Notebook,15.6,4,Windows 10,1.89,0,0,1,Other,Intel HD,Flash Storage
37215.54719999999,Asus,Notebook,14.0,2,Windows 10,1.65,0,0,0,AMD,AMD,Flash Storage
82098.61919999999,HP,Notebook,17.3,4,Windows 10,2.71,0,0,1,AMD,AMD,HDD
349526.9232,Dell,Ultrabook,13.3,16,Windows 10,1.2,1,0,1,Intel Core i7,Intel UHD,SSD
186638.7744,Apple,Ultrabook,13.3,8,Other,1.35,0,0,0,Intel Core i5,Intel HD,Flash Storage
46566.18719999999,Lenovo,Notebook,14.0,4,Windows 10,1.44,0,0,0,Intel Celeron Dual,Intel HD,Flash Storage
68633.69759999998,Acer,Notebook,15.6,4,Linux,2.1,0,0,0,Intel Core i3,Intel HD,HDD
183085.5312,Dell,Notebook,17.3,8,Windows 10,2.8,0,1,1,Intel Core i5,AMD,Hybrid
91391.285232,HP,Notebook,15.6,4,Windows 10,1.86,0,0,0,Intel Core i5,Intel HD,HDD
164384.2512,HP,Notebook,15.6,8,Windows 10,2.1,0,0,1,Intel Core i5,Nvidia GeForce,SSD
72747.97919999999,Asus,Notebook,15.6,4,Linux,2.0,0,0,1,Intel Core i3,Intel HD,HDD
280332.1872,Dell,Gaming,15.6,16,Windows 10,2.65,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
97805.824272,Asus,Notebook,15.6,8,Linux,2.3,0,0,0,Intel Core i5,Nvidia GeForce,HDD
127542.72959999999,Acer,Notebook,15.6,4,Windows 10,2.2,0,1,1,Intel Core i5,Intel UHD,SSD
186825.7872,Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,1,0,1,Intel Core i5,Nvidia GeForce,HDD
265371.16319999995,Apple,Ultrabook,13.3,8,Other,1.37,0,1,0,Intel Core i5,Other,SSD
69007.7232,Lenovo,Notebook,15.6,4,No OS,2.2,0,0,0,Intel Core i3,Intel HD,SSD
242929.6272,Asus,Gaming,17.3,8,Windows 10,3.2,0,0,1,AMD,AMD,Hybrid
119501.17919999998,Dell,Notebook,15.6,4,Windows 10,2.3,0,0,1,Intel Core i5,AMD,SSD
87147.96479999999,Asus,Notebook,17.3,4,Windows 10,2.8,0,0,0,Other,Nvidia GeForce,HDD
59657.083199999994,Lenovo,2 in 1 Convertible,10.1,4,Other,0.69,1,1,0,Other,Intel HD,Flash Storage
157277.7648,Acer,Notebook,15.6,8,Windows 10,2.2,0,1,1,Intel Core i7,Nvidia GeForce,SSD
74522.730672,HP,Notebook,15.6,4,Windows 10,1.86,0,0,1,AMD,AMD,SSD
206275.11839999998,HP,Notebook,13.3,8,Windows 10,1.49,0,0,1,Intel Core i7,Intel UHD,SSD
71812.9152,Acer,Notebook,15.6,4,Windows 10,2.4,0,0,0,Intel Core i3,Intel HD,HDD
143588.42784,Dell,Notebook,15.6,8,Windows 10,2.13,0,0,1,Intel Core i7,AMD,SSD
82098.61919999999,HP,Notebook,15.6,4,Windows 10,1.91,0,0,1,Intel Core i3,Intel HD,SSD
109625.033232,Asus,Notebook,15.6,4,Windows 10,2.0,0,0,0,Intel Core i5,Intel HD,SSD
457994.34719999996,MSI,Gaming,17.3,16,Windows 10,2.43,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
77610.31199999999,Asus,Notebook,15.6,4,Linux,2.0,0,0,1,Intel Core i3,Intel HD,SSD
242929.6272,Dell,Notebook,17.3,16,Windows 10,2.8,0,0,1,Intel Core i7,AMD,Hybrid
164384.2512,Dell,Ultrabook,14.0,8,Windows 10,1.7,0,0,1,Intel Core i5,Intel UHD,SSD
112020.6672,Lenovo,Notebook,14.0,8,No OS,1.7,0,1,1,Intel Core i3,Intel HD,SSD
175979.0448,Asus,Notebook,14.0,8,Windows 10,1.4,0,0,1,Intel Core i5,Intel UHD,SSD
129038.83199999998,HP,Notebook,15.6,8,Windows 10,1.86,0,0,1,Intel Core i5,Intel HD,SSD
370846.3824,Asus,Ultrabook,15.6,16,Windows 10,1.8,0,0,1,Intel Core i7,Nvidia GeForce,SSD
82040.645232,HP,Notebook,15.6,4,Windows 10,1.86,0,0,0,Intel Core i3,AMD,HDD
42825.9312,HP,Notebook,14.0,4,Windows 10,1.44,0,0,0,Intel Celeron Dual,Intel HD,SSD
102670.0272,Lenovo,Notebook,15.6,4,Windows 10,1.9,0,0,1,Intel Core i5,Intel HD,HDD
177475.1472,Asus,Gaming,17.3,12,Linux,3.0,0,0,1,Intel Core i7,Nvidia GeForce,HDD
203656.9392,Other,Ultrabook,13.5,4,Other,1.252,1,0,0,Intel Core i5,Intel HD,SSD
178597.224,Dell,Ultrabook,13.3,8,Windows 10,1.4,0,1,1,Intel Core i7,AMD,SSD
162701.136,Dell,Notebook,15.6,8,Windows 10,2.2,0,0,1,Intel Core i7,AMD,SSD
204779.01599999997,MSI,Gaming,17.3,8,Windows 10,2.7,0,0,1,Intel Core i5,Nvidia GeForce,Hybrid
72747.97919999999,Acer,Notebook,14.0,8,Windows 10,2.1,0,0,0,Intel Core i3,Intel HD,HDD
177475.1472,Asus,Gaming,15.6,8,Windows 10,2.2,0,0,1,Intel Core i7,Nvidia GeForce,HDD
97059.64319999999,Lenovo,Notebook,15.6,8,No OS,2.2,0,0,1,Intel Core i5,Intel HD,HDD
159895.944,Dell,Notebook,15.6,8,Windows 10,2.02,0,0,1,Intel Core i7,Intel UHD,Hybrid
99116.784,Acer,Notebook,15.6,4,Windows 10,2.2,0,0,1,Intel Core i3,Nvidia GeForce,HDD
182711.50559999997,HP,Notebook,17.3,8,Windows 10,2.5,0,0,1,Intel Core i5,Nvidia GeForce,Hybrid
204995.95084799998,Dell,Ultrabook,15.6,8,Windows 10,1.88,0,1,1,Intel Core i5,Intel UHD,SSD
282389.328,Apple,Ultrabook,12.0,8,Other,0.92,0,1,0,Intel Core i5,Intel HD,SSD
160831.008,HP,Notebook,14.0,8,Windows 10,1.63,0,0,1,Intel Core i5,Intel HD,SSD
74618.1072,Lenovo,Notebook,15.6,4,Windows 10,2.2,0,0,1,AMD,AMD,SSD
73870.056,Acer,Notebook,15.6,4,Windows 10,2.1,0,0,0,AMD,AMD,HDD
252280.2672,Dell,Gaming,15.6,16,Windows 10,2.65,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
130721.9472,HP,Ultrabook,15.6,8,Windows 10,1.83,0,1,1,Intel Core i7,Nvidia GeForce,SSD
112018.797072,HP,Notebook,15.6,8,Windows 10,1.96,0,0,1,Intel Core i5,Intel HD,SSD
270981.5472,Asus,Gaming,15.6,16,Windows 10,2.2,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
308384.10719999997,Dell,Ultrabook,13.3,8,Windows 10,1.21,0,1,1,Intel Core i7,Intel UHD,SSD
130721.9472,Asus,Gaming,15.6,8,Windows 10,2.45,0,0,1,AMD,AMD,HDD
128851.81919999998,Acer,Notebook,15.6,8,Windows 10,2.2,0,0,1,Intel Core i7,Nvidia GeForce,HDD
223854.3216,HP,Notebook,13.3,16,Windows 10,1.49,0,0,1,Intel Core i7,Intel UHD,SSD
223480.29599999997,Dell,Gaming,15.6,8,Windows 10,2.65,0,0,1,Intel Core i5,Nvidia GeForce,SSD
196176.4272,Asus,Ultrabook,14.0,8,Windows 10,1.25,0,0,1,Intel Core i7,Intel HD,SSD
158399.8416,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,1,1,1,Intel Core i5,Intel UHD,SSD
112188.97871999998,Dell,Notebook,15.6,8,Linux,2.2,0,0,1,Intel Core i7,AMD,HDD
90701.208,Dell,Notebook,15.6,4,Linux,2.2,0,0,1,Intel Core i3,AMD,SSD
107906.3856,Asus,Notebook,15.6,6,Windows 10,2.0,0,0,1,Intel Core i3,Nvidia GeForce,SSD
233578.9872,HP,Gaming,15.6,12,Windows 10,2.62,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
134462.2032,HP,Notebook,15.6,8,Windows 10,1.91,0,0,1,Intel Core i7,AMD,SSD
65267.4672,HP,Notebook,15.6,4,Windows 10,2.1,0,0,1,AMD,AMD,HDD
120997.2816,Dell,Notebook,15.6,8,Linux,2.2,0,0,1,Intel Core i5,AMD,HDD
209267.32319999998,HP,Ultrabook,13.3,8,Windows 10,1.38,0,1,1,Intel Core i7,Nvidia GeForce,SSD
250597.15199999997,Other,Ultrabook,13.5,8,Other,1.252,1,0,0,Intel Core i5,Intel HD,SSD
123241.43519999998,HP,Notebook,14.0,6,Windows 10,1.58,0,1,1,Intel Core i5,Nvidia GeForce,SSD
77591.61072,Lenovo,Notebook,15.6,4,Windows 10,1.85,0,0,1,Intel Core i3,Intel HD,HDD
223106.27039999998,Asus,Ultrabook,14.0,8,Windows 10,1.3,0,1,1,Intel Core i7,Nvidia GeForce,SSD
242929.6272,MSI,Gaming,15.6,16,Windows 10,2.2,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
276778.94399999996,Lenovo,Notebook,14.0,8,Windows 10,1.58,0,1,1,Intel Core i7,Intel HD,SSD
236010.1536,Asus,Ultrabook,15.6,16,Windows 10,1.5,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
257890.65119999996,Dell,Ultrabook,13.3,8,Windows 10,1.23,1,0,1,Intel Core i7,Other,SSD
261630.9072,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1,1,1,Intel Core i5,Intel HD,SSD
135023.2416,HP,Notebook,14.0,4,Windows 10,1.63,0,1,0,Intel Core i5,Intel UHD,HDD
304643.8512,Dell,Ultrabook,13.3,8,Windows 10,1.21,0,1,1,Intel Core i5,Intel UHD,SSD
261629.03707199998,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1,1,1,Intel Core i5,Intel UHD,SSD
202721.87519999998,HP,Notebook,14.0,8,Windows 10,1.63,0,0,1,Intel Core i7,Intel UHD,SSD
211386.17822399997,Dell,Notebook,15.6,8,Windows 10,2.16,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
105475.21919999999,Asus,Notebook,17.3,4,Windows 10,2.0,0,0,1,Intel Core i3,Nvidia GeForce,HDD
209080.3104,Asus,Notebook,15.6,8,Windows 10,1.7,0,0,1,Intel Core i7,Nvidia GeForce,SSD
89579.13119999999,Acer,Notebook,15.6,6,Windows 10,2.1,1,1,1,Intel Core i3,Intel HD,HDD
419189.19119999994,MSI,Gaming,15.6,16,Windows 10,1.8,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
117631.05119999997,Lenovo,Notebook,15.6,8,No OS,2.2,0,0,1,Intel Core i5,Nvidia GeForce,SSD
237693.2688,HP,Notebook,17.3,16,Windows 10,2.5,0,0,1,Intel Core i7,Nvidia GeForce,SSD
84342.77279999999,Acer,Notebook,15.6,4,Windows 10,2.1,0,0,0,AMD,AMD,SSD
48436.3152,HP,Notebook,15.6,4,No OS,1.86,0,0,0,Intel Celeron Dual,Intel HD,HDD
151854.39359999998,HP,Notebook,14.0,8,Windows 10,1.63,0,0,1,Intel Core i5,Intel UHD,HDD
51987.68827199999,Asus,Notebook,14.0,4,Other,1.65,0,0,0,AMD,AMD,SSD
261069.86879999994,Dell,Notebook,17.3,16,Windows 10,2.8,0,0,1,Intel Core i7,AMD,Hybrid
173547.8784,HP,Notebook,17.3,8,Windows 10,2.5,0,0,1,Intel Core i5,Intel UHD,SSD
119499.30907199999,Dell,Notebook,15.6,8,Windows 10,2.36,0,0,0,Intel Core i5,AMD,HDD
83968.7472,Dell,Notebook,15.6,4,Windows 10,2.2,0,0,1,Intel Core i3,AMD,HDD
165319.31519999998,Acer,Ultrabook,14.0,8,Windows 10,1.6,0,1,1,Intel Core i7,Intel UHD,SSD
106971.3216,Acer,Notebook,15.6,4,Windows 10,2.2,0,0,1,Intel Core i3,Nvidia GeForce,SSD
111833.65439999998,HP,Notebook,15.6,8,Windows 10,2.05,0,0,0,Intel Core i7,Intel HD,HDD
184768.6464,HP,Notebook,14.0,8,Windows 10,1.63,0,0,1,Intel Core i7,Intel UHD,SSD
47194.55020799999,Lenovo,Notebook,15.6,4,No OS,1.9,0,0,0,Intel Celeron Dual,Intel HD,HDD
175418.00639999998,Asus,Gaming,17.3,8,Windows 10,3.0,0,0,1,Intel Core i5,Nvidia GeForce,Hybrid
93319.3872,Lenovo,Notebook,15.6,4,No OS,2.2,0,0,1,Intel Core i5,Nvidia GeForce,HDD
130721.9472,HP,Notebook,13.3,4,Windows 10,1.32,0,1,1,Intel Core i5,Intel HD,SSD
122493.38399999999,Acer,Notebook,17.3,4,Windows 10,3.0,0,1,1,Intel Core i3,Nvidia GeForce,HDD
208710.02505599998,Lenovo,Notebook,14.0,8,Windows 10,1.75,0,1,1,Intel Core i5,AMD,SSD
162514.1232,Lenovo,Gaming,15.6,8,No OS,2.4,0,1,1,Intel Core i7,Nvidia GeForce,SSD
112581.7056,Toshiba,Notebook,15.6,4,Windows 10,2.1,0,0,0,Intel Core i5,Intel HD,HDD
69007.7232,HP,Notebook,15.6,4,Windows 10,1.86,0,0,0,AMD,AMD,SSD
205527.0672,Asus,Ultrabook,14.0,8,Windows 10,1.25,0,0,1,Intel Core i7,Intel UHD,SSD
376643.7792,HP,Ultrabook,12.5,8,Windows 10,0.97,1,1,1,Other,Intel HD,SSD
64332.40319999999,Asus,Notebook,15.6,4,Windows 10,2.0,0,0,1,Intel Celeron Dual,Intel HD,HDD
379448.97119999997,MSI,Gaming,17.3,16,Windows 10,2.9,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
83594.72159999999,Acer,Notebook,15.6,4,Windows 10,2.1,0,0,0,Intel Core i3,Intel HD,HDD
233627.61052799996,Dell,Gaming,15.6,16,Windows 10,2.56,0,0,1,Intel Core i7,Nvidia GeForce,SSD
168124.5072,Dell,Gaming,15.6,8,Windows 10,2.62,0,0,1,Intel Core i7,Nvidia GeForce,Other
93132.37439999999,Lenovo,Notebook,15.6,4,Windows 10,1.9,0,0,0,Intel Core i5,Intel HD,SSD
353454.192,MSI,Gaming,17.3,16,Windows 10,2.8,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
202347.8496,HP,Ultrabook,14.0,4,Windows 10,1.48,0,0,1,Intel Core i5,Intel HD,SSD
115760.92319999999,HP,Notebook,15.6,6,Windows 10,1.91,0,0,1,Intel Core i5,AMD,SSD
117631.05119999997,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,1,1,1,Intel Core i3,Intel HD,SSD
245921.83199999997,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1,0,1,Intel Core i5,Intel HD,SSD
196176.4272,Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,1,0,1,Intel Core i7,Intel UHD,SSD
83594.72159999999,Toshiba,Notebook,15.6,4,Windows 10,2.1,0,0,0,Intel Core i3,Intel HD,HDD
75366.1584,Asus,Notebook,15.6,4,Windows 10,2.03,0,0,0,AMD,AMD,HDD
150545.304,Acer,Notebook,17.3,4,Windows 10,3.0,0,1,1,Intel Core i5,Nvidia GeForce,SSD
136145.3184,Dell,Notebook,15.6,8,Windows 10,2.13,0,0,1,Intel Core i5,AMD,SSD
201786.8112,Lenovo,Gaming,15.6,16,Windows 10,2.5,0,1,1,Intel Core i7,Nvidia GeForce,SSD
65080.454399999995,Acer,Notebook,15.6,4,Windows 10,2.1,0,0,0,Intel Celeron Dual,Intel HD,HDD
336436.0272,MSI,Gaming,15.6,16,Windows 10,2.4,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
67981.02292799999,Acer,Notebook,15.6,4,Windows 10,2.1,0,0,0,Other,Intel HD,HDD
198325.204272,Dell,Gaming,15.6,8,Windows 10,2.56,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
159708.9312,Acer,Notebook,17.3,8,Windows 10,3.0,0,1,1,Intel Core i5,Nvidia GeForce,SSD
141007.6512,HP,Notebook,13.3,4,Windows 10,1.49,0,1,1,Intel Core i5,Intel UHD,HDD
252280.2672,Other,Ultrabook,13.0,8,Windows 10,1.05,0,1,1,Intel Core i5,Intel HD,SSD
130721.9472,HP,Notebook,17.3,6,Windows 10,2.71,0,1,1,Intel Core i5,AMD,HDD
57786.9552,Lenovo,Notebook,15.6,4,No OS,2.2,0,0,0,AMD,AMD,HDD
91449.25919999999,Toshiba,Notebook,15.6,4,Windows 10,2.0,0,0,0,Intel Core i3,Intel HD,HDD
172612.8144,HP,Notebook,17.3,8,Windows 10,2.5,0,0,1,Intel Core i5,Nvidia GeForce,SSD
85838.8752,Dell,Notebook,15.6,8,Windows 10,2.3,0,0,0,Intel Core i3,Intel HD,HDD
83968.7472,Acer,Notebook,15.6,4,Windows 10,2.1,0,0,0,Intel Core i3,Intel HD,SSD
523448.8272,MSI,Gaming,18.4,32,Windows 10,4.4,0,0,1,Intel Core i7,Other,Hybrid
152041.40639999998,Lenovo,Notebook,15.6,8,Windows 10,1.9,0,0,1,Intel Core i5,AMD,Hybrid
280332.1872,HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,1,1,1,Intel Core i5,Intel UHD,SSD
196176.4272,Dell,Notebook,15.6,16,Linux,2.02,0,0,1,Intel Core i7,AMD,Hybrid
261630.9072,Dell,Ultrabook,13.3,8,Windows 10,1.23,0,0,1,Intel Core i5,Intel UHD,SSD
345786.66719999997,Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,1,1,1,Intel Core i7,Intel UHD,SSD
148301.15039999998,Toshiba,Notebook,15.6,8,Windows 10,2.0,0,0,0,Intel Core i5,Intel HD,SSD
224228.3472,Other,Notebook,15.6,8,No OS,1.95,0,1,1,Intel Core i5,Nvidia GeForce,SSD
289682.8272,Dell,Notebook,17.3,16,Windows 10,2.77,1,0,1,Intel Core i7,Nvidia GeForce,SSD
448269.6816,Dell,Notebook,15.6,16,Windows 10,2.06,1,0,1,Intel Core i7,Nvidia GeForce,SSD
145682.9712,Lenovo,Gaming,15.6,8,No OS,2.4,0,1,1,Intel Core i5,Nvidia GeForce,SSD
184955.6592,Acer,Ultrabook,13.3,8,Windows 10,1.12,0,1,1,Intel Core i5,Intel HD,SSD
202908.888,Dell,Notebook,17.3,8,Windows 10,2.8,0,0,1,Intel Core i7,AMD,Hybrid
528124.1472,Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,1,0,0,Intel Core i7,Intel HD,SSD
48623.327999999994,Other,Notebook,14.0,4,Windows 10,1.3,0,1,1,Intel Celeron Dual,Intel HD,Flash Storage
186994.09871999995,Other,Ultrabook,13.3,8,No OS,1.3,0,1,1,Intel Core i5,Nvidia GeForce,SSD
130534.9344,Lenovo,Notebook,17.3,8,No OS,2.8,0,0,0,Intel Core i5,Nvidia GeForce,SSD
156903.73919999998,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,1,1,1,Intel Core i7,Intel UHD,HDD
170929.69919999997,HP,Notebook,17.3,8,Windows 10,2.5,0,1,1,Intel Core i5,Nvidia GeForce,HDD
1140591.0672,Other,Gaming,17.3,32,Windows 10,3.49,1,0,1,Intel Core i7,Nvidia GeForce,SSD
179345.27519999997,HP,Notebook,13.3,8,Windows 10,1.49,0,0,1,Intel Core i5,Intel UHD,SSD
257890.65119999996,HP,Gaming,17.3,16,Windows 10,3.35,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
195428.376,HP,Notebook,17.3,8,Windows 10,2.5,0,0,1,Intel Core i7,Nvidia GeForce,SSD
345038.616,Dell,Gaming,15.6,16,Windows 10,2.65,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
92197.3104,Lenovo,Notebook,15.6,4,Windows 10,2.1,0,0,0,Intel Core i5,Intel HD,SSD
138763.4976,Acer,Notebook,15.6,8,Windows 10,2.23,0,0,1,Intel Core i7,Nvidia GeForce,HDD
327085.3872,Lenovo,Gaming,15.6,16,Windows 10,3.2,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
571324.1039999999,Dell,Workstation,15.6,16,Windows 10,2.8,0,0,1,Other,Nvidia Quadro,Hybrid
261443.8944,Lenovo,Gaming,15.6,16,No OS,2.4,0,0,1,Intel Core i7,Nvidia GeForce,SSD
82098.61919999999,Dell,Notebook,15.6,6,Windows 10,2.3,1,0,0,Intel Core i3,Intel HD,HDD
364487.9472,Dell,Ultrabook,13.3,8,Windows 10,1.21,1,1,1,Intel Core i7,Intel UHD,SSD
270981.5472,Dell,Ultrabook,13.3,8,Windows 10,1.2,0,0,1,Intel Core i7,Intel UHD,SSD
111646.64159999999,Lenovo,Notebook,15.6,8,Windows 10,2.2,0,0,0,Intel Core i5,Intel HD,SSD
145682.9712,Acer,Notebook,15.6,8,Linux,2.4,0,0,1,Intel Core i7,Nvidia GeForce,HDD
263127.00959999993,Asus,Gaming,17.3,16,Windows 10,2.9,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
65267.4672,HP,Notebook,15.6,4,No OS,2.1,0,0,1,Intel Core i3,Intel HD,HDD
102670.0272,Lenovo,Notebook,15.6,8,No OS,2.2,0,0,1,Intel Core i5,Intel HD,SSD
280332.1872,Other,Ultrabook,13.0,8,Windows 10,1.05,0,1,1,Intel Core i7,Intel HD,SSD
174273.488064,Dell,Ultrabook,13.3,8,Windows 10,1.4,0,1,1,Intel Core i7,AMD,SSD
110150.53919999998,Lenovo,Notebook,17.3,8,No OS,2.8,0,0,0,Intel Core i5,Nvidia GeForce,HDD
192810.19679999998,HP,Notebook,14.0,8,Windows 10,1.63,0,0,1,Intel Core i7,Nvidia GeForce,SSD
214877.7072,Dell,Ultrabook,14.0,8,Windows 10,1.6,0,0,1,Intel Core i5,Intel UHD,SSD
239189.37119999997,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,1,0,1,Intel Core i7,Intel UHD,SSD
126673.12008,Dell,Notebook,15.6,8,Linux,2.2,0,0,1,Intel Core i5,AMD,SSD
168124.5072,Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,0,1,1,Intel Core i5,Intel UHD,SSD
254898.4464,Toshiba,Ultrabook,13.3,8,Windows 10,1.2,0,0,1,Intel Core i7,Intel HD,SSD
148488.16319999998,HP,Notebook,15.6,8,Windows 10,2.1,0,0,1,Intel Core i5,Intel UHD,HDD
459367.02115199994,Dell,Gaming,17.3,16,Windows 10,4.42,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
155594.64959999998,Acer,Notebook,15.6,8,Windows 10,2.2,0,0,1,Intel Core i7,Nvidia GeForce,SSD
160645.86532799999,Dell,Notebook,15.6,16,Windows 10,2.3,1,0,1,Intel Core i7,AMD,HDD
143812.8432,Asus,Notebook,15.6,8,Windows 10,2.0,0,0,1,Intel Core i5,Nvidia GeForce,SSD
166628.4048,Asus,Notebook,17.3,8,Windows 10,2.69,0,0,1,Intel Core i5,Nvidia GeForce,Hybrid
237319.24319999997,HP,Notebook,15.6,8,Windows 10,1.9,0,0,1,Intel Core i7,AMD,HDD
74616.237072,Asus,Notebook,15.6,4,Windows 10,2.37,0,0,0,Intel Core i3,Intel HD,HDD
61714.22399999999,HP,Notebook,15.6,4,Windows 10,2.1,0,0,0,AMD,AMD,HDD
280332.1872,Lenovo,Gaming,15.6,16,Windows 10,3.2,0,1,1,Intel Core i7,Nvidia GeForce,Hybrid
160643.99519999998,Dell,Notebook,14.0,8,Windows 10,1.6,0,0,1,Intel Core i5,Intel HD,SSD
128851.81919999998,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,1,1,1,Intel Core i5,Intel HD,SSD
168124.5072,Dell,Notebook,15.6,16,Linux,2.36,0,0,1,Intel Core i7,AMD,SSD
72934.992,Acer,Notebook,15.6,4,Linux,2.1,0,0,0,Intel Core i3,Intel HD,HDD
107532.36,Asus,Notebook,15.6,4,Windows 10,2.2,0,0,1,AMD,AMD,Hybrid
727479.792,Asus,Gaming,17.3,32,Windows 10,4.7,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
158212.8288,Acer,Gaming,15.6,8,Windows 10,2.5,0,1,1,Intel Core i5,Nvidia GeForce,SSD
110150.53919999998,Lenovo,Notebook,15.6,8,Windows 10,2.2,0,0,0,Intel Core i3,Intel HD,SSD
214129.656,Asus,Notebook,17.3,8,Windows 10,2.1,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
166254.3792,Asus,Notebook,17.3,8,No OS,2.69,0,0,1,Intel Core i7,Nvidia GeForce,Hybrid
