Company,TypeName,Inches,Ram,OpSys,Weight,TouchScreen,IPS,HD_4K,CPU_Brand,GPU_Brand,Memory_Type,CPU_Frequency,Length,Width,PPI
Acer,Notebook,17.3,8,Windows 10,1.4586150226995167,0,0,0,Intel,Nvidia,HDD,2.0,1600.0,900.0,4.673884932133573
Asus,2 in 1 Convertible,12.5,8,Chrome OS,0.7884573603642702,0,0,1,Intel,Intel,Flash Storage,1.2,1920.0,1080.0,5.177462845242346
Lenovo,2 in 1 Convertible,14.0,8,Windows 10,0.883767540168595,1,0,0,Intel,Intel,SSD,2.7,2560.0,1440.0,5.350913056059403
Lenovo,Notebook,17.3,4,Windows 10,1.332366019094335,0,0,0,Intel,Nvidia,HDD,2.5,1600.0,900.0,4.673884932133573
Lenovo,Workstation,15.6,16,Windows 10,1.1939224684724346,0,1,1,Intel,Nvidia,SSD,2.8,3840.0,2160.0,5.646943996094081
Lenovo,Workstation,15.6,16,Windows 10,1.252762968495368,0,1,1,Intel,Nvidia,SSD,2.8,3840.0,2160.0,5.646943996094081
HP,Notebook,15.6,8,Windows 10,1.043804052173115,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Ultrabook,13.3,8,Windows 10,0.7884573603642702,0,1,1,Intel,Intel,SSD,0.9,1920.0,1080.0,5.115788496573994
HP,Notebook,15.6,8,Windows 10,1.1314021114911006,0,0,1,Intel,Nvidia,SSD,1.6,1920.0,1080.0,4.9573188885088015
Chuwi,Notebook,15.6,4,Windows 10,1.0612565021243408,0,0,1,Intel,Intel,Flash Storage,1.44,1920.0,1080.0,4.9573188885088015
Asus,Notebook,17.3,8,No OS,1.3056264580524355,0,0,1,Intel,Nvidia,Hybrid,2.7,1920.0,1080.0,4.854649288865456
HP,Notebook,14.0,4,Windows 7,0.9321640810304452,0,0,1,Intel,Intel,SSD,2.3,1920.0,1080.0,5.064811007262561
Toshiba,Notebook,13.3,8,Windows 10,0.7178397931503169,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
Lenovo,Notebook,15.6,4,No OS,1.0647107369924282,0,0,0,Intel,Intel,HDD,1.1,1366.0,768.0,4.619612096371975
Lenovo,Notebook,13.3,8,Windows 10,0.7419373447293773,0,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
Lenovo,Notebook,14.0,8,Windows 7,0.9932517730102832,0,0,1,Intel,Intel,SSD,2.3,1920.0,1080.0,5.064811007262561
Dell,Gaming,15.6,16,Windows 10,1.43746264769429,0,0,1,Intel,Nvidia,Hybrid,2.6,3840.0,2160.0,5.646943996094081
Acer,Gaming,15.6,8,Windows 10,1.308332819650179,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,4,Windows 10,1.0508216248317612,0,0,0,AMD,AMD,HDD,1.8,1366.0,768.0,4.619612096371975
Lenovo,Notebook,15.6,8,Windows 10,1.2809338454620642,0,1,1,Intel,Nvidia,HDD,2.6,1920.0,1080.0,4.9573188885088015
Toshiba,Notebook,15.6,4,Windows 10,1.1314021114911006,0,0,0,Intel,Intel,SSD,2.1,1366.0,768.0,4.619612096371975
Apple,Ultrabook,15.4,16,macOS,1.0402767116551463,0,1,0,Intel,AMD,SSD,2.7,2880.0,1800.0,5.400578892692495
Dell,Ultrabook,13.3,8,Windows 10,0.8020015854720274,1,0,1,Intel,Intel,SSD,2.4,3200.0,1800.0,5.624210736923218
Acer,2 in 1 Convertible,13.3,8,Windows 10,0.9555114450274363,1,1,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.115788496573994
Asus,Notebook,15.6,4,Windows 10,1.0986122886681098,0,0,0,Intel,Intel,HDD,2.4,1366.0,768.0,4.619612096371975
Lenovo,Notebook,14.0,2,Windows 10,0.9162907318741552,0,0,0,Intel,Intel,Flash Storage,1.6,1366.0,768.0,4.726814234417343
HP,Notebook,15.6,4,Windows 10,1.1118575154181305,0,0,1,Intel,Intel,HDD,2.4,1920.0,1080.0,4.9573188885088015
Samsung,Ultrabook,15.0,16,Windows 10,0.8020015854720274,0,0,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,4.996269112948607
Lenovo,Netbook,11.6,4,Windows 10,0.9516578757114464,0,1,0,Intel,Intel,SSD,1.1,1366.0,768.0,4.913347375266901
HP,Notebook,15.6,6,Windows 10,1.0818051703517284,0,1,1,AMD,AMD,SSD,3.0,1920.0,1080.0,4.9573188885088015
Dell,Workstation,15.6,16,Windows 10,1.1537315878891892,0,1,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,4.9573188885088015
Asus,2 in 1 Convertible,11.6,2,Windows 10,0.7419373447293773,1,0,0,Intel,Intel,Flash Storage,1.1,1366.0,768.0,4.913347375266901
HP,Notebook,15.6,4,Windows 10,1.1969481893889715,0,0,0,Intel,Intel,HDD,2.3,1366.0,768.0,4.619612096371975
Acer,Notebook,11.6,4,Windows 10,0.8754687373538999,0,0,0,Intel,Intel,Flash Storage,1.6,1366.0,768.0,4.913347375266901
Asus,Gaming,17.3,8,Windows 10,1.3862943611198906,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Asus,Notebook,14.0,4,Windows 10,0.9162907318741552,0,0,1,Intel,Intel,Flash Storage,1.1,1920.0,1080.0,5.064811007262561
Acer,Notebook,15.6,4,Windows 10,1.1314021114911006,0,0,0,AMD,AMD,HDD,3.0,1366.0,768.0,4.619612096371975
HP,Notebook,15.6,8,Windows 10,1.068153081183401,0,0,1,Intel,AMD,SSD,2.7,1920.0,1080.0,4.9573188885088015
Dell,Gaming,17.3,16,Windows 10,1.6900958154515549,0,1,0,Intel,Nvidia,Hybrid,2.9,2560.0,1440.0,5.14038144505599
Acer,Notebook,15.6,4,Linux,1.2237754316221157,0,0,0,Intel,Intel,HDD,1.6,1366.0,768.0,4.619612096371975
Dell,Workstation,15.6,8,Windows 10,1.118414915964289,1,0,1,Intel,Nvidia,SSD,2.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,4,No OS,1.1314021114911006,0,0,0,Intel,Intel,HDD,2.3,1366.0,768.0,4.619612096371975
Acer,Gaming,15.6,16,Windows 10,1.252762968495368,0,0,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Notebook,15.6,8,Linux,1.1939224684724346,0,0,1,Intel,Nvidia,HDD,2.4,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,4,Linux,1.1631508098056809,0,0,0,Intel,Intel,HDD,1.6,1366.0,768.0,4.619612096371975
Dell,2 in 1 Convertible,13.3,8,Windows 10,0.8064758658669485,1,0,1,Intel,Intel,SSD,1.3,3200.0,1800.0,5.624210736923218
Asus,Gaming,17.3,8,Windows 10,1.316408233655724,0,1,1,Intel,Nvidia,Hybrid,2.5,1920.0,1080.0,4.854649288865456
Dell,Notebook,13.3,4,Windows 10,0.9745596399981308,0,0,0,Intel,Intel,HDD,2.0,1366.0,768.0,4.777664699022989
Asus,Notebook,15.6,8,Windows 10,1.0986122886681098,0,0,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,8,Windows 10,1.1631508098056809,0,0,1,Intel,AMD,HDD,1.6,1920.0,1080.0,4.9573188885088015
Toshiba,Notebook,13.3,8,Windows 7,0.7884573603642702,0,0,1,Intel,Intel,SSD,2.3,1920.0,1080.0,5.115788496573994
Dell,Ultrabook,12.5,8,Windows 10,0.8586616190375187,1,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.177462845242346
Acer,Notebook,15.6,4,Linux,1.1314021114911006,0,0,0,Intel,Intel,HDD,2.0,1366.0,768.0,4.619612096371975
HP,Notebook,15.6,4,Windows 10,1.0508216248317612,0,0,0,Intel,AMD,HDD,2.0,1366.0,768.0,4.619612096371975
Dell,Ultrabook,13.3,8,Windows 10,0.8285518175661483,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
HP,Notebook,14.0,4,Windows 10,0.8919980393051105,0,0,0,Intel,Intel,SSD,1.6,1366.0,768.0,4.726814234417343
